Total Likes Given
Aaaaaaaaaaaaaaaaaaaaannette Gray,10375
Wrongdog,5337
RyAAAAAAAAAAAAAAAn Bowers,5117
Corey Hansen,4837
MAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAtthew Wise,4825
Kimberly Waggoner,4545
Kelly Ross McGaw,3750
AAAAAAAAAAAAAAAverage Outrun Enjoyer,3382
EEEEEEAAAAAAAAAAAAAAAAAAA,3052
Elizabeth Wisneski,2989
Blake “Positive Vibes” Horner,2977
Nathan Gilbert,2710
Judge DreAAAAAAAAAAAAad,2332
Hannah,2013
Trevor RyAAAAAAAAAAAAn Erichson,1932
Aaaaaaaaaapossum fan,1873
Noah Yudewitz,1466
BrAAAAAAAAAAAAAAAAAAAAAAAAAAAd,1351
Adison Nordstrom,1321
AAAAAAAAÀAAAshley,1203
JOOOOO(AAAAAAAAAA)HHHHHHNNNNNNNNN,1186
staring back from the void,1168
Kim Whaley,1046
I Envy The D(r)ead,928
Andrea Trenaman,902
Alex Gunther,843
Jacob Noll,712
Daaaaaaaaaaaaaaaaaaaaaaaave,633
Nicholas Robbins,505
Zach Muscha,489
Michael Guy,478
JAAAAAAAAAAAAAAAAAAck Borg,476
JoshuAAAAAAAAAAAAAA,473
Conor Townsend,472
Zack Taylor,422
John MaAAAAAAAAAaAaANdel,417
Andrew JP O'Connor,398
Kim Fuentes,387
lydia is always having an existential crisis,339
Daniel Corey,285
Cameron Hines,235
Derek Mitchell,203
Bobby Brown,185
Sean Phillips,159
James Holt,136
Clark Teems,132
Mason Alfonso,117
Raaaaaaaaàaaaaaaasin Spin,107
Alec Mangan,84
Jarrett Anderson,64
Alec Yenawine,54
Kendall Feist,45
Natalia Acosta,36
Will Till,29
Raaaaaaaaaaasin whoops,27
Hao,24
Lucas Hansen,24
Spencer Callicott,24
Chris Spencer,22
SeAAAAAAAAAAAAAAAAAAN C,21
Mason Turvey,20
Lydia Smoot,17
Clint Oestreich,16
Ari Rubin,14
Cory Vitez,12
Samantha Marcella,11
Jason Gaughan,11
Just have to make it to the weekend,8
Alexander Schumacher,7
Emma Jaynes,6
Justin RAAAAAAAAAAAAAAAAAAAAAAleigh McElderry,4
Sarah Bateman,2
Josh  Vavases,2
