,count
I,520
to,488
and,460
the,365
a,325
you,222
of,210
my,189
that,189
is,181
it,177
but,163
in,156
for,150
this,128
have,122
me,115
on,111
I’m,108
with,107
like,106
was,100
be,93
so,92
at,92
are,83
not,82
your,80
out,72
cuz,71
get,70
they,65
if,62
None,61
about,61
don’t,60
can,59
just,58
people,57
as,55
or,54
one,53
all,51
an,51
when,50
we,50
been,49
it’s,46
do,46
some,45
good,45
feel,44
had,44
from,43
up,43
her,43
work,42
she,42
love,40
This,40
I’ve,39
too,39
really,38
what,38
My,38
more,38
got,38
here,37
time,37
there,36
That’s,35
It,35
how,34
even,34
much,34
has,33
you’re,33
know,32
want,32
who,31
them,30
need,30
still,29
It’s,29
think,29
lol,27
he,27
You,27
him,26
were,26
make,26
going,25
way,24
will,24
go,24
better,24
last,24
us,24
than,23
take,23
other,23
look,22
And,22
into,22
see,22
actually,21
try,21
also,21
would,21
dance,21
our,21
day,21
that’s,21
pretty,21
help,21
I’ll,21
back,20
hard,19
didn’t,19
Lol,19
she’s,19
friends,19
least,19
his,19
now,19
off,18
life,18
could,18
very,18
being,18
care,18
because,18
If,18
come,18
lot,18
over,17
by,17
They,17
then,17
their,17
friend,17
y’all,17
talk,17
always,17
only,17
The,17
myself,17
why,16
many,16
sure,16
most,16
working,16
We,16
while,16
started,16
something,16
But,16
feeling,15
put,15
tho,15
hope,15
getting,15
person,15
down,15
we’re,15
That,15
these,15
first,15
did,15
can’t,14
today,14
well,14
doing,14
trying,14
🫂🫂🫂,14
dread,14
having,14
things,14
Pickles,14
family,13
bad,13
shit,13
brother,13
makes,13
keep,13
no,13
year,13
made,13
group,13
type,13
new,13
am,13
sleep,13
thing,13
A,12
Not,12
week,12
I’d,12
mom,12
So,12
helped,12
ever,12
before,12
through,12
yourself,12
where,12
those,12
She,12
should,12
let,12
hate,12
doesn’t,12
won’t,12
dad,12
chat,11
together,11
night,11
enough,11
done,11
appreciate,11
does,11
both,11
prob,11
never,11
best,11
find,11
stuff,11
right,11
def,11
someone,11
it.,11
stop,11
give,10
date,10
told,10
everyone,10
nice,10
sister,10
coast,10
:),10
seems,10
"Yea,",10
big,10
able,10
less,10
Get,10
sounds,10
Oh,10
after,10
sometimes,10
place,10
he’s,10
What,10
gets,10
couple,10
needed,10
again,10
around,10
ok,9
He,9
At,9
job,9
few,9
coming,9
real,9
kind,9
Just,9
fun,9
next,9
super,9
that.,9
😹,9
any,9
You’re,9
Y’all,9
second,9
happy,9
cat,9
start,9
message,9
sorry,9
Thank,9
old,8
"Also,",8
part,8
weird,8
Oof,8
isn’t,8
ADHD,8
say,8
Thanks,8
there’s,8
Glad,8
went,8
mean,8
same,8
bit,8
you.,8
found,8
which,8
another,8
Did,8
taking,8
without,8
fucking,8
dancing,8
long,8
therapy,8
No,8
social,7
(and,7
All,7
different,7
therapist,7
Wise,7
each,7
looking,7
Is,7
called,7
head,7
We’re,7
relationship,7
rough,7
glad,7
ask,7
Are,7
name,7
gotten,7
cute,7
making,7
every,7
it!,7
sweet,7
ppl,7
🫂,7
esp,7
😭,7
believe,7
fuck,7
school,7
west,7
already,7
great,7
beautiful,7
little,7
talking,7
🥳🥳🥳,7
Also,7
As,7
scream,7
energy,7
guy,6
phone,6
engineering,6
understand,6
thinking,6
wasn’t,6
wants,6
tell,6
worst,6
might,6
either,6
others,6
haven’t,6
🙃,6
Hell,6
brain,6
parents,6
everything,6
looks,6
weren’t,6
years,6
Like,6
sent,6
said,6
saying,6
sad,6
must,6
sleeping,6
ready,6
such,6
bed,6
maybe,6
anxiety,6
use,6
whole,6
early,6
goes,6
break,6
2,6
attacked,6
they’re,6
town,6
move,5
later,5
show,5
She’s,5
🎊🎉🎊,5
hugs,5
Why,5
times,5
hair,5
send,5
cool,5
days,5
plans,5
thought,5
cut,5
event,5
face,5
weekend,5
apt,5
themselves,5
almost,5
bring,5
engineers,5
close,5
Especially,5
Sounds,5
wish,5
There,5
tears,5
couldn’t,5
today.,5
anyone,5
soon,5
turn,5
office,5
tried,5
baby,5
often,5
met,5
perfect,5
Maybe,5
aren’t,5
looked,5
Your,5
lol.,5
Fuck,5
until,5
comes,5
half,5
felt,5
Please,5
keeping,5
tonight,5
one.,5
worse,5
upset,5
tho.,5
boss,5
company,5
tired,5
lead,5
pics,5
"it,",5
home,5
dealing,5
Does,4
they’ll,4
needs,4
yet,4
serious,4
mine,4
meme,4
clearly,4
hit,4
them.,4
telling,4
become,4
out.,4
leave,4
Tell,4
"degrees,",4
actual,4
body,4
pay,4
crisis,4
piece,4
West,4
lately,4
awesome,4
expensive,4
longer,4
rest,4
pack,4
dating,4
precious,4
pick,4
helps,4
Matt,4
slowly,4
easy,4
wanted,4
bad.,4
happened,4
@MAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAtthew,4
well.,4
willing,4
lost,4
There’s,4
weeks,4
Ugh,4
else,4
