,count
None,62
a,54
to,53
I,47
the,44
and,43
of,29
that,28
is,27
you,24
for,19
in,19
about,14
it,14
me,13
on,13
get,12
your,12
with,11
so,11
or,11
all,11
work,11
at,11
just,11
my,10
they,10
are,10
if,10
this,9
an,9
not,9
was,9
like,9
but,9
And,9
one,8
am,8
My,8
still,7
be,7
because,7
have,7
as,7
can,7
The,6
no,6
then,6
it’s,6
off,5
got,5
up,5
what,5
right,5
people,5
don’t,5
aren’t,5
something,5
when,4
It’s,4
their,4
that’s,4
had,4
out,4
being,4
furnace,4
we’re,4
from,4
someone,4
But,4
years,4
"me,",4
do,4
lot,4
time,4
into,4
so.,4
ok.,3
little,3
we,3
getting,3
most,3
help,3
where,3
ok,3
usually,3
good.,3
chat,3
through,3
than,3
could,3
try,3
against,3
Yeah,3
her,3
We,3
you’re,3
enough,3
ourselves,3
It,3
while,3
People,3
pizza,3
also,3
she,3
lie,3
today,3
will,3
best,3
want,3
space,3
new,3
data,2
you’ll,2
by,2
I’m,2
more,2
really,2
BUT,2
"it,",2
love,2
ducting,2
once,2
asbestos,2
isn’t,2
thought,2
has,2
That,2
keep,2
Someone,2
Happy,2
worth,2
dunno.,2
better,2
working,2
Like,2
having,2
Life,2
well,2
watch,2
Surely,2
‘s,2
drop,2
classified,2
baking,2
breast,2
Which,2
terrible,2
great,2
say,2
told,2
doing,2
doesn’t,2
family,2
rising,2
ago,2
let,2
very,2
bad,2
Same,2
school,2
mental,2
health,2
done,2
hours,2
found,2
whatever,2
You,2
cancer,2
why,2
insurance,2
every,2
point,2
Maybe,2
"there,",2
me.,2
Joke’s,2
drive,2
feel,2
talking,2
tried,2
needed,2
too,2
wedding,2
Not,2
months,2
Vavases,2
hard,2
took,2
there’s,2
least,2
@Michael,2
somehow,2
"them,",2
tell,2
shit,2
When,2
toes.,2
making,2
fight,2
maybe,2
sounds,2
huge,2
much,2
rut,2
died,2
More,2
Congratulations!,2
A,2
reason,2
incremental,2
made,2
might,2
two,2
bought,2
week,2
it’ll,2
take,2
project,2
oven,2
Our,2
now.,2
dread,2
definitely,2
use,2
plan,2
through.,2
cut,2
saw,2
20,2
asked,2
11,2
Friday,2
thing,2
after,1
vote,1
April,1
4P,1
near,1
eclipse,1
hey,1
live,1
2K,1
sucks.,1
starting,1
treatment),1
many,1
owner,1
admit,1
ballet,1
hammer,1
truth,1
thousand,1
Ain’t,1
4-6,1
call,1
premiums/eligibility,1
affect,1
beating,1
“Living,1
submission.,1
coupla,1
weeks,1
October,1
(two,1
administrator,1
away,1
miles,1
tomorrow.,1
perfume?,1
Nothing,1
hiding,1
things,1
PCP,1
risk,1
issues!,1
unlikely,1
sis,1
dance”,1
dream”,1
same,1
weird,1
“just,1
likes,1
"cancer,",1
Take,1
dancer,1
wasn’t,1
thin,1
Trust,1
attic.,1
dance,1
AC,1
info,1
script,1
settings,1
"excel,",1
skills,1
elsewhere.,1
excel.,1
Certainly,1
yet,1
were,1
days,1
forget,1
“migraine”,1
everyone,1
alive,1
lies,1
accepting,1
issues.,1
"inclusion,",1
out.,1
Also,1
school/class,1
“10+”,1
even,1
pressure,1
poors,1
brain,1
tumors,1
refused,1
count,1
them,1
wrote,1
seemingly,1
spicy,1
3,1
meltdown.,1
own,1
evening.,1
Nobody,1
may,1
Prioritizing,1
yeah,1
birthday,1
Wise,1
Hi,1
gas,1
pockets,1
running,1
motor,1
rusty,1
pipe,1
dirt,1
There’s,1
unpack.,1
unpack,1
unpacking,1
spoil,1
Bet,1
stage,1
backs,1
England,1
What’s,1
A+,1
anyone,1
"change,",1
makes,1
comfortable,1
sharing,1
now”,1
legally,1
concern,1
cannot,1
push,1
lied.,1
Advising,1
appointment,1
asking,1
stop,1
gap.,1
Shouldn’t,1
instead,1
partially,1
fixing,1
Thanks,1
