,count
I,43
the,40
to,36
a,36
my,35
and,32
of,24
in,14
was,14
that,14
me,13
so,13
with,11
just,11
is,10
I’m,10
for,10
because,9
it,9
his,9
have,8
up,8
at,8
on,8
him,7
like,7
had,7
not,7
an,7
about,6
last,6
but,6
or,6
My,6
they,5
work,5
couple,5
has,5
time,5
be,5
you,5
he,5
out,4
one,4
still,4
got,4
week,4
job,4
this,4
facility,4
though,4
it’s,4
are,4
even,4
office,4
way,3
never,3
watching,3
we’re,3
get,3
really,3
onsite,3
The,3
lot,3
other,3
off,3
know,3
something,3
as,3
cat,3
from,3
live,3
when,3
🫠,3
contractor,3
great,3
go,3
also,3
since,3
more,3
some,3
don’t,3
gone,3
before,3
she’s,3
If,2
used,2
One,2
giving,2
ton,2
gonna,2
bf,2
their,2
starting,2
team,2
+,2
went,2
exact,2
hour,2
definitely,2
check,2
doing,2
over,2
that’s,2
here,2
pain,2
care,2
lead,2
commute,2
government,2
shit,2
bit,2
than,2
alone,2
we,2
leaving,2
sick,2
It’s,2
took,2
new,2
situation,2
lost,2
if,2
can,2
who,2
passed,2
"time,",2
same,2
I’ve,2
make,2
were,2
whenever,2
help,2
covid,2
granddad,2
going,2
half,2
now,2
caught,2
job.,2
Like,2
literally,2
"team,",2
always,2
intern,2
project,2
It,2
guy,2
almost,2
come,2
working,2
feel,2
both,2
nuts,2
two,2
into,2
But,2
later,2
year,2
cheap,1
app.,1
look,1
"spot,",1
napping,1
pointed,1
main,1
too,1
camera,1
monitor,1
baby,1
in-office,1
unplug,1
hate,1
home,1
agrees,1
scene,1
fled,1
avoid,1
days,1
piece,1
Thankfully,1
thanks,1
wreck,1
summer,1
built,1
friend.,1
hospitals,1
random,1
roommate,1
college,1
fantastic.,1
We’ve,1
multiple,1
vacations,1
together,1
totaled,1
RAV4,1
2020,1
right,1
Though,1
younger,1
brother’s,1
landlord,1
"now,",1
kind,1
weird,1
dynamic,1
cheers,1
died,1
alone.,1
December,1
"2020,",1
toys,1
PTO,1
ever,1
less,1
self,1
sleep,1
course,1
Just,1
them.,1
spend,1
locked,1
down.,1
They,1
animal,1
access,1
exception,1
dad,1
(primary,1
contact,1
siblings,1
games,1
"state),",1
gear,1
PPE,1
let,1
ps5,1
buying,1
which,1
action,1
current,1
There’s,1
"restricted,",1
favorite,1
"unreasonable,",1
bananas,1
grief,1
option,1
pretty,1
"raw,",1
least,1
“I,1
mind…,1
"well,",1
it”,1
Spice,1
Tea,1
Exchange,1
neat,1
cheaper,1
see,1
storefronts.,1
land,1
big,1
variety,1
teas,1
That’s,1
where,1
currently.,1
Even,1
happy,1
next,1
"anymore,",1
tell,1
nice,1
need,1
tasking.,1
privilege,1
choosy,1
"regret/guilt,",1
Had,1
turn,1
down,1
offer,1
weeks,1
ago,1
company,1
through,1
acquisition,1
sounded,1
different,1
they’re,1
currently,1
clusterfuck,1
switch,1
result,1
shelve,1
immediately,1
feeling.,1
income,1
Siri,1
grandmother,1
remind,1
instantly,1
leave,1
"brain,",1
return,1
ask,1
people,1
who’ve,1
gotten,1
weeks.,1
relate,1
every,1
events,1
apart,1
campus,1
tearing,1
nurse,1
friends,1
bf’s,1
coworkers,1
(non,1
industry),1
shows,1
swipe,1
badge,1
back,1
gym.,1
respect,1
hustle,1
nonstop,1
pointless,1
mattering,1
expectation,1
contributions,1
plus,1
factor),1
force,1
(yay,1
gov,1
funding),1
cuts,1
finally,1
looking,1
jobs.,1
budget,1
"for,",1
paid,1
enough,1
all,1
bullshit,1
"him,",1
want,1
kids,1
she,1
realizes,1
"that,",1
fair,1
steady,1
her,1
it.,1
She,1
doesn’t,1
overly,1
uncle,1
married,1
"family,",1
granddaughter,1
I’ll,1
probably,1
(to,1
grandkids,1
nag,1
💀,1
PSA,1
advance,1
anyone,1
who’s,1
setting,1
-,1
sure,1
save,1
its,1
autosave,1
could.,1
Christmas,1
frequent,1
sooner,1
teams,1
partner,1
decisions,1
fairly,1
progress,1
refight,1
boss,1
night,1
value,1
may,1
quite,1
dumpster,1
fire,1
zero,1
program,1
downhill.,1
demoralized,1
Last,1
our,1
coordinator,1
(amazing,1
suddenly,1
FY23,1
goes,1
entirety,1
Velocipastor,1
shoulder.,1
BG3,1
online,1
"please,",1
drives,1
wrenched,1
above,1
Half,1
literal,1
including,1
🤷🏼‍♀️,1
"manager,",1
based,1
elsewhere,1
country.,1
"great,",1
near,1
times,1
made,1
join,1
meetings.,1
Drives,1
completed,1
MS,1
Software,1
Engineering,1
May,1
100%,1
interns;,1
owe,1
career,1
him),1
lucky,1
walked,1
actually,1
day,1
💃,1
interrupting,1
contest,1
cause,1
date,1
first,1
try,1
grab,1
Working,1
computer,1
stopped,1
connecting,1
anything.,1
So,1
helped,1
IT,1
terrible,1
genre?,1
"home,",1
consistent,1
"guy,",1
insanely,1
said,1
cop/paramedics,1
af,1
seemed,1
talked,1
arm,1
swear,1
wrestling,1
fault,1
air,1
travel,1
nightmare,1
fashion.,1
parents,1
frustrating,1
"car),",1
flew,1
What,1
happened?,1
run,1
interstate,1
during,1
month,1
(totaling,1
much.,1
obsolete,1
old,1
might,1
stocking,1
good,1
analysis,1
meetings,1
form,1
telling,1
how,1
coming,1
you’d,1
site,1
leadership,1
acts,1
should,1
excited,1
show,1
“collaborate,1
purpose”,1
whatever,1
line,1
is.,1
Never,1
mind,1
lives,1
zones,1
"away,",1
"besides,",1
IVV,1
90%,1
lol,1
locations,1
upset,1
ignored/scrapped/made,1
expect.,1
"RTO,",1
only,1
2,1
day/week,1
NASA,1
(space,1
"limitations),",1
tanked,1
mood,1
satisfaction.,1
okay,1
today,1
not-great,1
pay,1
being,1
fully,1
"remote,",1
miserable,1
planning,1
hunt,1
summer.,1
Deadass,1
cried,1
