,count
a,2
the,2
you,2
I,2
no,2
start,1
joy,1
like,1
finishing,1
an,1
academic,1
marathon,1
and,1
knowing,1
work,1
will,1
set,1
for,1
to,1
period,1
of,1
time.,1
wish,1
that,1
existed,1
in,1
professional,1
world,1
is,1
happened,1
group,1
What,1
high,1
at,1
school,1
class?,1
https://twitter.com/traddingtonbear/status/1467924295435309057?s=21,1
Property,1
"owners,",1
are,1
providing,1
adequate,1
space,1
There,1
your,1
reasonable,1
value?,1
Have,1
tried,1
not????,1
Anti,1
dread,1
https://twitter.com/l0litsmonica/status/1449166802903126016?s=21,1
really,1
identify,1
with,1
avatar,1
