,count
the,457
I,434
a,414
to,398
and,390
of,274
is,188
in,187
it,162
that,160
my,155
you,155
for,142
like,114
on,97
be,96
with,95
was,81
have,80
at,78
me,77
get,73
but,73
I'm,67
about,63
can,61
are,60
an,60
if,59
None,58
this,58
The,57
up,55
out,54
your,53
so,53
got,52
just,50
do,50
not,49
from,49
as,48
Me:,45
all,44
it's,42
or,41
would,40
people,40
they,39
think,39
some,38
don't,38
work,38
had,35
by,34
then,34
when,33
time,33
will,32
more,32
been,31
going,31
has,31
there,31
them,30
it.,30
into,30
their,28
one,28
because,25
>,25
This,24
But,24
no,24
than,24
"""I",23
what,23
good,23
make,23
gonna,22
who,22
how,22
It,22
back,21
want,21
we,21
now,21
job,20
something,20
My,20
which,20
need,19
could,19
only,19
And,19
know,18
It's,18
shit,18
being,17
much,17
lot,17
last,17
he,17
I've,17
We,17
someone,16
You,16
I'll,16
you're,16
am,16
that's,15
still,15
too,15
new,15
where,15
even,15
I'd,15
They,15
see,15
other,15
go,15
down,15
right,14
part,14
two,14
also,14
made,14
trying,14
If,14
car,14
Them:,14
pay,14
thing,14
bunch,14
A,14
less,13
coming,13
were,13
her,13
always,13
our,13
gets,13
did,13
probably,13
years,13
working,13
minutes,13
god,12
There,12
little,12
there's,12
bad,12
she,12
around,12
away,12
life,12
ever,12
went,12
stuff,12
look,12
getting,12
doing,12
whole,11
every,11
kinda,11
can't,11
really,11
Just,11
might,11
take,11
may,11
should,11
"it,",11
week,11
any,11
feel,11
its,11
isn't,10
group,10
office,10
things,10
feeling,10
us,10
few,10
first,10
Me,10
Also,10
way,10
Get,10
self,10
days,10
parents,10
day,10
better,10
says,10
home,10
next,10
meeting,10
Or,10
while,10
put,10
call,10
say,10
kind,10
big,10
Oh,9
before,9
over,9
off,9
college,9
hours,9
hard,9
sure,9
why,9
He,9
after,9
through,9
Then,9
took,9
tell,9
nothing,9
come,9
Do,8
him,8
called,8
they'll,8
"time,",8
What,8
eating,8
message,8
looking,8
person,8
project,8
they're,8
me.,8
most,8
rest,8
didn't,8
try,8
30,8
until,8
use,8
his,8
That,8
talk,8
So,8
Tfw,8
nobody,8
tried,7
10,7
said,7
vaccine,7
seems,7
well,7
saying,7
long,7
text,7
three,7
five,7
start,7
question,7
haven't,7
many,7
anything,7
Was,7
let,7
leave,7
find,7
team,7
months,7
though.,7
since,7
give,7
read,7
keep,7
money,7
When,7
weeks,7
live,7
Maybe,7
real,7
guy,7
four,6
you'll,6
done,6
instead,6
check,6
worth,6
guess,6
wasn't,6
eat,6
That's,6
decent,6
having,6
we're,6
friends,6
schedule,6
idk,6
again,6
care,6
boss,6
"""That's",6
music,6
else,6
wouldn't,6
Not,6
"""You",6
Blue,6
One,6
own,6
best,6
Yeah,6
goes,6
class,6
On,6
what's,6
making,6
along,6
them.,6
gotta,6
doesn't,6
left,6
never,6
order,6
likely,6
"""Oh",6
"""I'm",6
love,6
already,6
hope,6
pick,6
insurance,5
means,5
house,5
"that,",5
hour,5
drive,5
covered,5
yourself,5
interesting,5
looks,5
wrong,5
actually,5
phone,5
full,5
bed,5
seem,5
IT,5
help,5
taken,5
"you,",5
social,5
buy,5
facial,5
:(,5
takes,5
aren't,5
pretty,5
dread,5
traffic,5
thought,5
either,5
2.,5
cheap,5
interview,5
Is,5
meme,5
👀,5
turn,5
talking,5
Now,5
here,5
There's,5
wanted,5
weird,5
customer,5
everything,5
top,5
realize,5
neighbors,5
stay,5
engineering,5
seen,5
damn,5
Keep,5
Gotta,5
write,5
without,5
light,5
Time,5
those,5
another,5
least,5
figure,5
training,5
struggle,5
asked,5
shot,5
conversation,5
Still,5
bit,5
sucks,5
In,5
hate,5
different,5
Most,5
Work,5
dating,5
gang,5
these,5
same,5
time.,5
remember,4
fix,4
hang,4
happen,4
dream,4
during,4
walk,4
oh,4
learned,4
between,4
D,4
HE,4
won't,4
maybe,4
near,4
second,4
power,4
side,4
experience,4
gave,4
canceled,4
enough,4
deep,4
usually,4
yet.,4
we'll,4
Call,4
yesterday,4
free,4
onsite,4
needs,4
leaves,4
"""It's",4
missing,4
years.,4
giving,4
follow,4
rocket,4
status,4
sell,4
later,4
sound,4
houses,4
y'all,4
rolls,4
up.,4
thinking,4
paid,4
design,4
friend,4
run,4
