,count
to,290
and,227
the,207
a,171
I,157
my,145
of,137
her,123
it,113
is,108
that,102
for,99
i,82
in,76
None,76
was,71
she,70
but,69
they,67
with,63
just,60
have,58
are,51
me,50
this,49
like,49
because,49
we,44
I’m,42
be,41
on,41
you,39
so,39
don’t,37
about,36
And,36
not,36
them,34
more,33
or,32
at,32
lol,32
has,31
than,30
how,30
do,30
want,29
one,29
if,28
as,28
their,28
when,28
our,27
up,27
an,27
feel,27
parents,27
out,27
had,27
get,26
work,26
what,25
Lauren,25
time,24
can,23
But,23
from,22
My,22
he,22
even,21
am,21
all,21
its,20
mother,20
sure,19
will,19
think,19
his,19
So,19
wife,19
people,18
good,18
your,18
The,18
only,18
also,18
him,17
know,17
being,16
then,16
two,16
doesn’t,15
much,15
trying,15
make,14
thats,14
by,14
mom,14
last,14
doing,14
now,14
family,13
really,13
bad,13
new,13
too,13
company,13
-,13
us,12
who,12
into,12
Its,12
help,12
no,12
getting,12
day,12
same,12
off,12
over,12
having,12
go,11
some,11
where,11
both,11
They,11
didn’t,11
baby,11
stuff,11
everything,11
way,10
Her,10
kind,10
lot,10
something,10
upset,10
I’ve,10
still,10
pretty,10
did,9
would,9
We,9
happy,9
factory,9
told,9
were,9
brother,9
boss,9
could,9
it.,9
take,9
very,9
always,9
got,9
while,9
own,9
dinner,8
understand,8
that.,8
hours,8
Yeah,8
any,8
here,8
which,8
done,8
going,8
She,8
dread,8
right,8
Like,8
bit,8
said,8
why,8
problem,8
need,8
fix,7
If,7
months,7
GIMME,7
house,7
things,7
through,7
A,7
job,7
pay,7
made,7
after,7
before,7
lol.,7
been,7
back,7
never,7
well,7
few,7
years,7
half,7
im,7
shes,7
first,7
those,7
appreciate,6
No,6
perfect,6
ive,6
talk,6
put,6
thing,6
child,6
end,6
This,6
Well,6
keep,6
Warren,6
least,6
system,6
care,6
whole,6
every,6
dad,6
days,6
there,6
say,6
It,6
life,6
tell,6
down,6
home,6
week,6
isn’t,6
around,6
see,5
without,5
issue,5
sorry,5
enough,5
THE,5
asked,5
move,5
apartment,5
actually,5
fucking,5
most,5
comes,5
wanted,5
line,5
despite,5
place,5
hate,5
Which,5
treat,5
stupid,5
car,5
probably,5
Because,5
ask,5
report,5
old,5
other,5
doesnt,5
EMS,5
tho,5
guess,5
failure,5
manufacturing,5
able,5
three,5
can’t,5
someone,5
2,5
drive,5
came,5
kids,5
youre,5
Oh,5
making,5
call,4
away,4
older,4
until,4
Not,4
part,4
For,4
talking,4
job.,4
high,4
group,4
Thats,4
went,4
wants,4
best,4
school,4
paper,4
🤣,4
she’s,4
okay,4
though,4
f***ed,4
night,4
should,4
weeks,4
wife’s,4
live,4
far,4
yeah,4
started,4
saying,4
come,4
yet,4
C,4
love,4
talked,4
hour,4
gets,4
called,4
already,4
More,4
feeling,4
that’s,4
process,4
seem,4
comment,4
Lol,4
currently,4
Sorry,4
respect,4
dont,4
wrong,4
man,4
since,4
does,4
aren’t,4
nice,4
goes,4
thru,4
“lean”,4
"that,",4
ever,4
try,4
second,4
telling,4
5,4
yes,4
working,4
"me,",4
Ive,4
let,4
use,4
realize,4
Even,3
"family,",3
titanium,3
lost,3
gotten,3
(which,3
considering,3
rent,3
promoted,3
"is,",3
experience,3
actual,3
together,3
kinda,3
charge,3
havent,3
code,3
Just,3
today,3
smile,3
existential,3
wedding,3
tired,3
6,3
herself,3
dad’s,3
gf,3
data,3
current,3
problems,3
That,3
particular,3
rest,3
may,3
stay,3
moving,3
(my,3
little,3
biggest,3
moment,3
pride,3
this.,3
instead,3
BP,3
screw,3
weird,3
Also,3
myself,3
ended,3
big,3
dog,3
places,3
everyone,3
sleep,3
needed,3
according,3
year,3
(despite,3
wanting,3
almost,3
Same,3
Feels,3
ago,3
Dread,3
"do,",3
ones,3
threatening,3
sister,3
stroke,3
TO,3
7,3
scream,3
brag,3
less,3
number,3
visit,3
section,3
adorable,3
bigger,3
seems,3
cut,3
Lauren’s,3
clear,3
bought,3
feels,3
tells,3
hurt,3
vibes,3
recovering,3
straight,3
corporate,3
hear,3
"way,",3
Or,3
along,3
enjoy,3
WE,3
grandparents,3
Yep,3
Damn,3
extremely,3
tbh,3
during,3
excel,3
Both,3
“follow,3
guy,3
10,3
angry,3
worth,3
"am,",3
supposed,3
basically,3
person,3
"Engineer,",3
team,3
"them,",3
obey,3
whenever,3
"people,",3
tries,3
is.,3
"off,",3
pic,3
disrespect,3
break,3
seeing,3
except,3
run,3
decided,3
jobs,3
better,3
says,3
else,3
paying,3
FUCKING,3
generally,3
anything,3
used,3
worry,3
matter,3
agree,3
standards,2
breaking,2
mind,2
calls,2
day.,2
title,2
it),2
problem.,2
meant,2
now.,2
regularly,2
essentially,2
"thing,",2
bothered,2
human,2
sandwich,2
write,2
frustrating,2
crying,2
fine,2
fault,2
rant,2
found,2
neck,2
main,2
user,2
drug,2
situation.,2
her.,2
control,2
"yeah,",2
freak.,2
moreso,2
"house,",2
complaining,2
upsetting,2
should’ve,2
body,2
mother’s,2
religious,2
"position,",2
idk,2
HOURS,2
quite,2
"dog,",2
dogs,2
Weve,2
points,2
leaders,2
damn,2
add,2
eyes,2
Problem,2
engineer,2
brain,2
cute,2
Our,2
such,2
changing,2
using,2
proud,2
count,2
counting,2
inventory,2
sweet,2
weve,2
He,2
trade,2
numbers,2
filter,2
workers,2
wanna,2
majority,2
minutes,2
HR,2
Stop,2
Had,2
plant,2
another,2
refused,2
likely,2
leave,2
boss’,2
took,2
South,2
limits.,2
services,2
especially,2
TN,2
$26,2
situation,2
sit,2
12,2
shit,2
per,2
steak,2
mouthing,2
surgery,2
lives,2
a),2
business,2
sometimes,2
catering,2
rarely,2
"her,",2
IN,2
understanding,2
plates,2
set,2
"I,",2
FROM,2
comparison,2
girl,2
"this,",2
find,2
b),2
words,2
lazy,2
"before,",2
boundaries,2
thought,2
much.,2
LOT,2
At,2
willing,2
mins,2
struggle,2
feeling.,2
"work,",2
helped,2
expecting,2
five,2
act,2
parents.,2
easier,2
worse,2
leech,2
blame,2
specifically,2
"too,",2
wasnt,2
labor,2
kid,2
family’s,2
assume,2
younger,2
encourage,2
lower,2
six,2
flaunt,2
helping,2
teaching,2
rich,2
(like,2
these,2
sitting,2
mostly,2
expected,2
discussion,2
parents:,2
might,2
gears,2
solution,2
within,2
green,2
equipment,2
themselves,2
Thank,2
besides,2
Amen,2
behind,2
edge,2
blood,2
under,2
them.,2
massive,2
gave,2
trailer,2
2011,2
brothers.,2
theyve,2
fast,2
look,2
married,2
whatever,2
lol),2
personal,2
🙃,2
here.,2
Trust,2
carbon,2
difficult,2
four,2
makes,2
saved,2
cheaper,2
twice,2
us.,2
north,2
judge,2
frustrated,2
done.,2
rules.,2
middle,2
suck,2
money,2
IS,2
times,2
fact,2
Engineers,2
saw,2
screaming,2
customer,2
including,2
Where,2
higher,2
"out,",2
place.,2
They’ve,2
you.,2
ring,2
issues.,2
future,2
Happy,2
1,2
"it,",2
possibly,2
Theres,2
fun,2
loved,2
haha,2
based,2
"not,",2
Industrial,2
become,2
pain,2
leaving,2
pulled,2
OVER,2
whats,2
sense,2
BE,2
SHOULD,2
acts,2
me:,2
"system”,",2
near,2
NOT,2
Excel,2
"wrong,",2
service,2
idea,2
New,2
absolutely,2
ago.,2
Saturday,2
transmission,2
Congrats!,2
Wise,2
next,2
exactly,2
fluid,2
show,2
"to,",2
double,2
coworkers,2
"baby,",2
MANY,2
SUPPOSED,2
lean,2
week.,2
loves,2
treating,2
"job,",2
relationship,2
himself,2
sucks,2
"up,",2
page,2
force,2
excited,2
switch,2
point,2
up.,2
Adeline,2
realizing,2
obligated,2
fighting,2
His,2
In,2
anyone,2
pull,2
mentally,2
cheese,2
wasteful,2
small,2
often,2
produce,2
hella,2
Go,2
Sounds,2
believe,2
@lydia,2
:/,2
answer,2
crisis,2
running,2
time),2
upon,2
hell,2
HAD,2
fan,2
Here,2
You,2
To,2
neighbors,2
cost,2
give,2
thinking,2
requires,2
"down,",2
"here,",2
employees,2
hated,2
Potential,2
either,2
All,2
Get,2
head,2
gas,2
tank,2
What,2
usually,2
believes,1
NICU,1
selfish,1
narccisistic,1
“unwelcoming”.,1
wise,1
owed,1
Oldest,1
night!,1
spent,1
gen,1
bipolar,1
theres:,1
grandkid.,1
becoming,1
Ironically,1
boomer.,1
x.,1
Yet,1
Other,1
all…I,1
Probably,1
"mean,",1
EXACT,1
gravel,1
month,1
Great,1
REALLY,1
marry,1
ironic,1
complained,1
PLENTY,1
sides,1
thing.,1
"Sorry,",1
once,1
ankles,1
"Also,",1
lopsided,1
recommend,1
animal,1
spirit,1
chiros,1
certified,1
avoid,1
godzilla,1
"agree,",1
sued,1
golden,1
Nov,1
Depression/WWII,1
induced,1
WARREN,1
"HOSPITAL,",1
era),1
punished,1
spends,1
Youd,1
famously,1
“I’ll,1
"okay,",1
(baby,1
terms,1
seemed,1
30th),1
arrives.,1
problems),1
necessity,1
definitely,1
vent.,1
horrible.,1
Thanks,1
(Sorry,1
stressful,1
BROUGHT,1
power,1
DAY,1
stir,1
born,1
intelligence,1
BACK,1
included),1
manipulated,1
"yes,",1
realizes,1
"pregnant,",1
absorbed,1
self,1
Gaslighting,1
Dakota,1
eventually,1
nuts,1
Marine,1
former,1
course,1
house),1
living,1
(including,1
Showed,1
driveway,1
Eh,1
BIRTH.,1
enable,1
cause,1
Certainly,1
pseudoscience,1
DON’T,1
relieving,1
Have,1
dealt,1
this?,1
T.,1
Never,1
"point,",1
therapy,1
AFTER,1
"MARRIED,",1
WHILE,1
SHE,1
WAS,1
HOSPITAL,1
WAITING,1
snap.,1
"though,",1
finally,1
grandkids,1
weeklong,1
claim,1
surgery.,1
full,1
comfortable,1
ease,1
question,1
Idk,1
https://v.groupme.com/68464173/2023-11-26T14:47:24Z/508345e.1920x1080r0.mp4,1
adjustment,1
"don’t,",1
"shouldn’t,",1
cannot,1
life.,1
house.,1
spasm,1
vessels,1
limits,1
lesser,1
anymore,1
doubts,1
recognize,1
Pride,1
similar,1
honor,1
taking,1
works,1
😓🙃,1
drove,1
"wife,",1
lawn,1
nightmare,1
"dad,",1
mothers,1
"influence,",1
worthless,1
"Escape),",1
promptly,1
disowned,1
kicked,1
thatll,1
dirt,1
face.,1
coworker,1
morning,1
AAAAAAAAAAAAAAAAAAAAAAHH,1
insurances,1
cover,1
appointments,1
partially,1
chiropractor.,1
stopped,1
asking,1
GIVE,1
takes,1
bombshell,1
drops…,1
f***ing,1
“whole,1
health”.,1
otherwise,1
crack,1
horribly,1
whether,1
(so,1
"help,",1
concept…,1
Needs,1
"car,",1
Took,1
longer,1
kept,1
comments,1
implying,1
AND,1
newborn,1
mistake),1
Hourly,1
freaking,1
combined,1
https://v.groupme.com/68464173/2022-11-02T03:22:02Z/34572726.1920x1080r0.mp4,1
Here’s,1
goofy,1
depressiveness,1
Shes,1
LEGOOOOOOOOS,1
@Kelly,1
Ross,1
Gets,1
engineer/technician,1
babyface,1
cheek,1
permanent,1
gold,1
inlaid,1
fiber,1
lamb,1
sharing,1
dread.,1
Count,1
lambs,1
consideration:,1
🥰🤣,1
eat,1
right?,1
McGaw,1
house:,1
roll,1
Do,1
Locked,1
monthly,1
Yard,1
Usually,1
"shell,",1
Today,1
Taco,1
screw.,1
hungry,1
Guess,1
IE,1
last!,1
By,1
SEVERAL,1
dread/not,1
mortified,1
cutie,1
Engineering,1
skills,1
peacefully,1
Hes,1
😁,1
(and,1
fell,1
(I,1
TUNGSTEN,1
fiber.,1
tougher,1
weightier,1
original,1
planning,1
"Kay’s,",1
online,1
haha),1
happily,1
interesting,1
"screen,",1
slurping,1
Excuse,1
