,count
the,82
to,72
and,67
a,55
he,45
of,45
in,41
I,34
his,33
it,32
was,30
for,25
that,23
on,21
you,20
like,20
So,20
is,19
this,19
as,16
so,15
be,14
with,14
out,14
him,14
them,13
they,13
at,13
had,12
have,12
get,11
from,11
my,10
car,10
just,10
but,10
he's,9
were,9
cause,9
one,9
if,9
And,9
when,9
up,8
can,8
friend,8
which,8
an,8
He,8
took,7
before,7
did,7
we,7
got,7
your,7
all,7
not,7
lot,7
are,7
dog,6
home,6
people,6
friends,6
there,6
student,6
pay,6
or,6
me,6
didn't,6
dude,6
what,6
their,6
where,5
everything,5
do,5
housing,5
But,5
her,5
year,5
house,5
than,5
more,5
make,5
it's,5
story,5
ticket,5
goes,5
first,5
also,5
school,5
enough,4
half,4
even,4
someone,4
being,4
move,4
about,4
semester,4
tell,4
into,4
parking,4
take,4
grade,4
senior,4
would,4
because,4
now,4
could,4
don't,3
immediately,3
gets,3
park,3
lawyer,3
back,3
wasn't,3
know,3
will,3
by,3
book,3
college,3
depressed,3
say,3
hrs,3
those,3
bar,3
changed,3
passwords,3
see,3
note,3
spots,3
has,3
she,3
great,3
next,3
parked,3
let,3
campus,3
depression,3
big,3
trying,3
good,3
last,3
still,3
been,3
That,3
shit,3
though,3
arrested,3
kinda,3
less,3
month,3
Cause,3
that's,3
think,3
taking,3
home.,3
himself,3
staff,3
no,3
till,3
how,3
evidence,3
best,3
some,3
Now,3
talk,3
they'd,3
week,3
while,3
day,3
jail,3
area,3
couldn't,3
course,3
drugs,2
busy,2
morning,2
start,2
worked,2
stay,2
done,2
here,2
went,2
after,2
cut,2
off,2
Yeah,2
sue,2
hear,2
down,2
liked,2
apartments,2
rather,2
Well,2
min,2
takes,2
around,2
its,2
type,2
without,2
second,2
city,2
code,2
asking,2
many,2
cop,2
right,2
they're,2
Sounds,2
Yep,2
too,2
date,2
us,2
you'd,2
cleaning,2
honor,2
different,2
design,2
said,2
None,2
messages,2
doesn't,2
Monday,2
towing,2
fee,2
pd,2
boy,2
over,2
made,2
I'll,2
telling,2
find,2
bro,2
lived,2
hasn't,2
MSU,2
guy,2
prof,2
leave,2
junior,2
only,2
sticky,2
little,2
side,2
sad,2
gf,2
commuter,2
services,2
Anyway,2
fight,2
I've,2
won't,2
miles,2
fast,2
me.,2
yeah,2
24,2
needs,2
really,2
worried,2
thing,2
kick,2
happens,2
why,2
story:,2
You,2
life,2
hour,2
own,2
settle,2
(it,2
drunk,2
showed,2
help,2
fuck,2
office,2
away,2
hours,2
low,2
it'll,2
close,2
stuff,2
remember,2
organic,2
feels,2
Chem,2
makes,2
expensive,2
cash,2
viewing,2
feeling,2
driving,1
It,1
(Only,1
couple,1
blocks),1
prudish,1
drug,1
time,1
face,1
dealers,1
never,1
least,1
parties,1
30-45,1
30,1
loud,1
minutes.,1
handful,1
Honestly,1
gave,1
points,1
person's,1
quality,1
realized,1
grew,1
melatonin,1
felt,1
buddies,1
what!,1
looks,1
far,1
weekend,1
place,1
https://vm.tiktok.com/ZM8LLaffW/,1
One,1
Plus,1
lots,1
hard,1
Unapologetically,1
new,1
stopped,1
started,1
openly,1
fine,1
duty,1
They,1
investigation,1
believe,1
everyone,1
discrepancy,1
he'd,1
Bad,1
choice,1
town,1
9-10,1
escort,1
Or,1
tender,1
We,1
party,1
argue,1
accept,1
artistic,1
liberty,1
way,1
better,1
events,1
security,1
buddy,1
girl,1
bartenders,1
very,1
angry,1
her.,1
genuine,1
$1500,1
themselves,1
cyber,1
ask,1
@Spencer,1
please,1
throw,1
cooperation,1
plea,1
FBI,1
crimes,1
butt,1
unit,1
came,1
starkville,1
Also,1
paranoid,1
"professor,",1
reassured,1
love,1
game,1
ball,1
whole,1
vet,1
met,1
(really,1
Callicott,1
perfect,1
I'm,1
sorry,1
typed,1
hopefully,1
volume,1
unread,1
peaks,1
interest,1
modern,1
tragedy,1
"paranoia,",1
jokes,1
afraid,1
Had,1
servers,1
entity,1
accepting,1
sleeve,1
holes,1
poke,1
church,1
nap,1
person,1
track,1
Crayola,1
16,1
pack,1
F,1
drink,1
weren't,1
accessing,1
unlawfully,1
computers,1
dudes,1
vigilant,1
theirs,1
huge,1
wheel,1
falls,1
funds,1
fussed,1
deal,1
(like,1
fine),1
*fessed,1
*fesses,1
oh,1
raided,1
federal,1
years,1
grades,1
Not,1
(kinda,1
goodbye,1
Back,1
Dude,1
guilty,1
bout,1
helped,1
feel),1
messed,1
layers,1
hurting,1
loyalty,1
attempt,1
spare,1
pain,1
department,1
extra,1
credits,1
lawsuit,1
tells,1
Friend,1
ties,1
(completely,1
reasonable,1
sucks,1
someone),1
Moral,1
sometimes,1
"""more",1
"secure""",1
secure,1
desk,1
funny,1
professor,1
Took,1
way.,1
bad,1
seen,1
right),1
noticed,1
needed,1
Then,1
clarity,1
again,1
bunch,1
people's,1
computer,1
guys,1
panicked,1
doesn't),1
night,1
happened,1
profs,1
nabbed,1
along,1
come,1
suspicion,1
whiskey,1
decisions,1
we've,1
A,1
test,1
pass,1
super,1
helpful,1
Meanwhile,1
care,1
hears,1
worrying,1
freaking,1
struggling,1
(I,1
2),1
fails,1
look,1
turned,1
future,1
sure,1
social,1
lay,1
credit,1
mutual,1
counting,1
leave),1
maintain,1
semblance,1
talking,1
wtf,1
our,1
classes,1
finished,1
apps,1
transfer,1
gun,1
investigating,1
(smart,1
awol,1
He's,1
semester),1
likely,1
settled,1
go,1
offer,1
holding,1
hearing,1
defend,1
(only,1
goal,1
two,1
forward,1
major,1
noise,1
(,1
alot,1
pinned,1
yesterday,1
endangering,1
meeting,1
Meeting,1
released,1
theft,1
immediate,1
afternoon,1
violation,1
council,1
determine,1
idea.,1
expelled.,1
smart,1
Friday,1
drowning,1
med,1
kiss,1
hack,1
expelled,1
We're,1
junior),1
graduate,1
threatened,1
shot,1
losing,1
managed,1
leaving,1
(wore,1
"gloves,",1
"hoodie,",1
avoided,1
cameras),1
hammered,1
jumped,1
worse,1
what's,1
means,1
group,1
serious,1
through,1
yall,1
disassembled,1
fence,1
hey,1
case.,1
stole,1
hug...,1
worry,1
stops,1
wanted,1
COB,1
clinically,1
store,1
dropped,1
Honest,1
terms,1
100%,1
Needless,1
impound,1
wonders,1
taken,1
responded,1
gfs,1
mad,1
cats,1
luckily,1
pissed,1
comes,1
couch,1
charger,1
defeat,1
Sometimes,1
collapsed,1
we're,1
meds,1
getting,1
opt,1
street,1
Adult,1
Christmas,1
CM,1
yet,1
Some,1
Oh,1
damages,1
reported,1
fixed,1
Going,1
resulted,1
meant,1
put,1
bottoms,1
list,1
maintenance,1
requests,1
fixing,1
bail,1
leases,1
parents,1
negotiate,1
ourselves,1
having,1
record,1
10,1
broken,1
furniture,1
drive,1
damage,1
thoroughly,1
prevent,1
charged,1
end,1
"cities""",1
prefer,1
lease,1
"""I'm",1
charge,1
tow,1
30s,1
$400,1
can't,1
left,1
depressants,1
gonna,1
Mississippi,1
offense,1
point),1
whoever,1
(a,1
forever.,1
coherent,1
real,1
shame,1
degrees,1
100,1
hair,1
sweaty,1
af,1
meets,1
phone,1
there.,1
analysis,1
often,1
shoes),1
glands,1
$200,1
leg,1
booted,1
passes,1
use,1
featured,1
died,1
door,1
Sorry,1
wait,1
August,1
walks,1
"""you",1
notices,1
Unluckily,1
irresponsibly,1
(as,1
boot,1
note:,1
right?),1
Side,1
6,1
towed,1
starts,1
drinking,1
head,1
"want""",1
(more,1
hell,1
"towed""",1
sketch,1
cleaned,1
neighborhood,1
valuables,1
"out,",1
wondering,1
4,1
run,1
brought,1
then,1
highlands,1
Don't,1
express,1
point,1
decided,1
expect),1
shower,1
else,1
(which,1
walked,1
predatory,1
hate,1
you're,1
20s,1
homies,1
companies,1
happy,1
hideous,1
rachett,1
rent,1
designed,1
prey,1
individual,1
who,1
beginning,1
self,1
hurt,1
cuddling,1
fucking,1
value,1
property,1
reserved,1
grad,1
assistants,1
knew,1
impounded,1
faculty,1
(this,1
Usually,1
dorms,1
campus),1
My,1
decrease,1
enrollment,1
cost,1
later,1
long,1
professors,1
tried,1
haven't,1
question,1
Thank,1
imploded,1
itself,1
hangout,1
prior,1
(We,1
caught,1
settling,1
yet),1
On,1
bright,1
final,1
traveling,1
panels,1
dogs,1
Wait,1
case,1
repairs,1
myself,1
free,1
evicted,1
lack,1
payment,1
ended,1
renting,1
forestry,1
wife,1
quoted,1
sweet,1
land,1
lords,1
Isn't,1
fix,1
homies?,1
everrow,1
3-5,1
east,1
"""I",1
showing.,1
extent,1
near,1
State,1
Leases,1
thats,1
non,1
houses,1
thos,1
period,1
scene,1
owned,1
friend's,1
Didn't,1
The,1
definitely,1
84,1
million,1
under,1
anything,1
lucky,1
documentation),1
mile,1
looked,1
soon,1
square,1
12,1
well,1
wrong,1
harvest,1
bias,1
largest,1
Bro,1
"taken""",1
US,1
11.5,1
setting.,1
picking,1
"""They",1
university,1
implied,1
sentence,1
court,1
possible,1
pr,1
nightmare,1
lengthy,1
show,1
sufficient,1
involves,1
literally,1
regular,1
gated,1
most,1
against,1
action,1
researched,1
class,1
months,1
single,1
Ms,1
gives,1
hopes,1
mistake,1
bit,1
play,1
cards,1
chest,1
above,1
board,1
win,1
That's,1
attorney,1
8,1
