,count
None,439
I,271
the,262
to,254
a,173
and,167
of,113
my,104
for,100
in,98
that,90
it,88
you,79
have,70
is,60
on,59
with,58
like,58
was,57
they,56
I'm,55
be,55
me,53
not,49
this,48
but,46
get,42
so,42
just,39
about,37
if,36
had,35
at,33
one,32
an,31
up,31
are,31
your,29
do,29
because,29
And,29
out,28
then,28
when,28
from,27
going,24
all,24
lol,24
been,24
didn't,23
But,23
also,23
we,22
it's,21
as,21
don't,21
more,21
or,20
now,20
go,19
can,19
that's,19
got,19
hours,18
things,18
would,18
than,18
job,17
think,17
last,16
I've,15
before,15
take,15
So,15
next,15
there,15
why,14
after,14
work,14
people,14
feel,14
some,14
If,14
someone,14
while,13
This,13
friend,13
has,13
did,13
even,13
flight,13
new,12
actually,12
anything,12
were,12
time,12
make,12
still,12
good,12
will,12
My,12
made,11
Yeah,11
right,11
first,11
until,11
those,11
I'll,11
3,11
Me,11
life,11
ear,11
them,11
gonna,11
only,11
am,11
what,11
really,10
thing,10
too,10
should,10
you're,10
2,10
company,10
which,10
chat,10
other,9
🤣,9
sure,9
😅,9
looking,9
hear,9
how,9
home,9
their,9
here,9
definitely,9
day,9
having,9
same,9
see,9
into,9
where,9
less,8
Just,8
Oh,8
doing,8
know,8
The,8
over,8
trying,8
much,8
high,8
week,8
cause,8
current,8
Then,8
always,8
It's,8
engineer,8
off,8
through,8
bad,8
mins,8
no,8
live,7
by,7
might,7
who,7
wait,7
never,7
car,7
instead,7
better,7
today,7
ever,7
she,7
her,7
getting,7
You,7
super,7
said,7
started,7
need,7
myself,7
morning,7
either,7
waiting,7
back,7
every,7
bed,7
want,7
way,7
They,7
left,7
Well,7
doesn't,7
anyone,7
since,7
could,7
feels,6
most,6
everyone,6
That,6
talking,6
decided,6
It,6
tell,6
specific,6
another,6
little,6
money,6
being,6
🙃,6
wind,6
😂,6
wasn't,6
he,6
Apparently,6
give,6
🥲,6
any,6
that.,6
can't,6
apparently,6
night,6
probably,6
ask,6
long,6
wish,6
guess,6
away,6
already,6
everything,6
hot,6
you'll,6
👀,5
basically,5
Can,5
remember,5
date,5
it.,5
tomorrow,5
asked,5
yesterday,5
idk,5
try,5
few,5
That's,5
completely,5
though,5
yourself,5
Also,5
What,5
shared,5
tests,5
again,5
part,5
shit,5
bit,5
usually,5
pressure,5
supposed,5
show,5
thought,5
ain't,5
stuff,5
pay,5
several,5
nothing,5
help,5
bus,5
hour,5
hit,5
Lol,5
maybe,5
there's,5
Or,5
apply,5
years,5
works,5
place,5
Friday,4
great,4
enough,4
wanted,4
30,4
front,4
feeling,4
friends,4
else,4
went,4
able,4
come,4
very,4
Do,4
we're,4
person,4
message,4
hopefully,4
forward,4
How,4
stopped,4
moving,4
parts,4
Chicago,4
memes,4
done,4
months,4
haha,4
"it,",4
fix,4
lmao,4
wild,4
well,4
Is,4
half,4
plugged,4
lot,4
sorry,4
least,4
No,4
level,4
presentation,4
tried,4
means,4
interview,4
right?,4
🤷🏻‍♂️,4
experience,4
We,4
us,4
put,4
glad,4
problems,4
fucked,4
train,4
move,4
plane,4
kinda,4
down,4
scheduled,4
world,4
joke,4
low,4
offer,4
couldn't,4
Sounds,4
name,4
his,4
slept,4
month,4
let,4
own,4
In,4
him,4
start,4
y'all,4
haven't,4
energy,3
"""if",3
eye,3
101,3
rough,3
28,3
food,3
hour.,3
order,3
Really,3
:(,3
happen,3
design,3
pain,3
I'd,3
classes,3
day?,3
sounds,3
dream,3
they're,3
wanna,3
jobs,3
two,3
Aaaaaaand,3
1/2,3
Are,3
many,3
times,3
under,3
farm,3
recommended,3
ended,3
Y'all,3
happening,3
makes,3
talk,3
sad,3
something,3
sleeping,3
air,3
pharmacy,3
in.,3
dread,3
nose,3
blowing,3
use,3
body,3
isn't,3
ago,3
"""I",3
felt,3
messages,3
seems,3
hate,3
Don't,3
Plus,3
side,3
"up,",3
Honestly,3
figure,3
best,3
taking,3
working,3
vs,3
weren't,3
TV,3
option,3
answer,3
hardly,3
song,3
4,3
weeks,3
nice,3
old,3
stop,3
Sunday,3
"mean,",3
year,3
hire,3
alarm,3
project,3
Speaking,3
without,3
problem,3
schedule,3
places,3
saying,3
still.,3
took,3
family,3
American,3
moose,3
knows,3
case,3
change,3
Like,3
India,3
Who,3
NYC,3
used,3
Monday,3
call,3
our,3
whole,3
