,count
the,22
and,18
a,14
to,13
is,12
I,11
in,9
on,8
are,6
None,6
of,6
it,5
your,5
just,4
spending,4
was,4
has,4
for,4
at,4
that,4
go,3
they,3
more,3
also,3
carrot,3
get,3
we,3
like,3
getting,3
The,3
can,3
my,3
but,3
already,3
talking,3
you,3
one,3
work,2
auditorium,2
somewhere,2
with,2
actually,2
less,2
desk,2
Yea,2
things,2
us,2
What,2
because,2
do,2
if,2
this,2
increase,2
past,2
football,2
how,2
Idk,2
buy,2
top,2
If,2
tour,2
know,2
now,2
This,2
from,2
when,2
what,2
over,2
supposed,2
name,1
insisting,1
hell,1
circle,1
No,1
8.,1
allowed,1
variable,1
me,1
characters,1
number,1
letting,1
compiler,1
MATLAB,1
running,1
automated,1
tools,1
post-processing,1
model,1
written,1
FORTRAN,1
Fortran,1
mean,1
grand,1
scheme,1
nobody,1
cares,1
besides,1
suit,1
asks,1
77?,1
some,1
Intel,1
using,1
earn,1
Pathways,1
last,1
stop,1
started,1
core,1
memory.,1
worse,1
I’m,1
do.,1
Like,1
under,1
doesn’t,1
wait,1
death?,1
right,1
place,1
next,1
big,1
Blue,1
Origin,1
tent.,1
having,1
meeting,1
coworker,1
dude,1
want,1
brain,1
comes,1
My,1
warped,1
Wtf,1
time,1
they’re,1
holding,1
press,1
conference,1
NASA,1
administrator,1
hear,1
20,1
years,1
perpetually,1
loose,1
labor,1
markets,1
everyone’s,1
off,1
perception,1
employee-employer,1
relationships,1
be,1
"Well,",1
have,1
insane,1
"parents,",1
ship,1
sailed,1
implied,1
solution,1
shut,1
phone,1
quietly,1
talk,1
CNN,1
make,1
They,1
showing,1
toilet,1
best,1
coozie,1
(?),1
doll.,1
host,1
about,1
as,1
kid,1
did,1
hell?,1
friends,1
turned,1
random,1
New,1
Years,1
show,1
distraction,1
Carrot,1
Top,1
(maybe?),1
zip,1
lining,1
headfirst,1
hosts,1
chanting,1
https://www.theatlantic.com/newsletters/archive/2022/04/american-teens-sadness-depression-anxiety/629524/,1
were,1
"TV,",1
That,1
today,1
downfield,1
honestly,1
mood,1
Food*,1
made,1
buffalo,1
chicken,1
dip.,1
10/10,1
good,1
3/10,1
devastating,1
fucking,1
hate,1
am,1
blasted,1
Also,1
come,1
trilogies,1
You’re,1
behind,1
Hallmark,1
tropes.,1
new,1
rich/famous,1
guy,1
stuck,1
anymore.,1
flatscreen,1
blocks,1
small,1
moment.,1
All,1
therapist.,1
handle,1
Great,1
It’s,1
librarian/chef/dog,1
Coach,1
quirky,1
Christmas,1
meaning,1
learning,1
Resignation.,1
consumer,1
Quit,1
town,1
can’t,1
values,1
You,1
Consumers,1
restaurants,1
after,1
vacations,1
2020,1
Amazon,1
don’t,1
vacation,1
crap,1
service,1
inn,1
Letterman’s,1
order,1
drunk.,1
You’ll,1
so,1
money,1
home,1
office.,1
That’s,1
total,1
change,1
12,1
People,1
months.,1
TL;DR:,1
above,1
struggling,1
annualized,1
October,1
"rate,",1
way,1
which,1
hit,1
7.4%.,1
But,1
"remember,",1
prices,1
down,1
"imports,",1
both,1
earlier,1
paper,1
roomba,1
crawl,1
live,1
"bacon,",1
pre-pandemic.,1
story,1
real,1
pandemic.,1
purchasing,1
power,1
by,1
before,1
paycheck,1
where,1
reached,1
flying,1
barely,1
"Actually,",1
"alcohol,",1
services,1
US,1
whereas,1
likely,1
due,1
"trend,",1
skyrocketed,1
wildly,1
goods,1
heightened,1
demand.,1
"spending,",1
look,1
see,1
airfares,1
https://www.washingtonpost.com/opinions/2021/06/29/heat-wave-pacific-northwest-climate-anxiety-coping/,1
