,count
I,6
of,4
on,3
was,2
it.,2
just,2
as,2
the,2
and,2
that,2
beyond,1
frickin',1
hard,1
dude,1
Leaps,1
bounds,1
"analysis,",1
but,1
-thought-,1
would,1
"be,",1
satisfied,1
nowhere,1
near,1
so,1
based,1
I'd,1
grad,1
goes,1
"PDE's,",1
"ODE's,",1
Systems,1
basically.,1
math,1
talking,1
expect,1
We're,1
lol,1
"fact,",1
works,1
be,1
to,1
where,1
like,1
complex,1
pretty,1
sequel,1
stellar,1
being,1
it,1
account,1
didn't,1
do,1
this,1
some,1
still,1
although,1
semester,1
Rumbling,1
"material,",1
challenging,1
took,1
class,1
Yeah,1
hell,1
for,1
us,1
dunking,1
Boykin,1
out,1
something,1
got,1
least,1
at,1
feel,1
None,1
ass,1
