,count
None,10
to,8
be,6
the,5
I,5
at,4
it,3
of,3
you,3
break,2
actually,2
me,2
exact,2
a,2
this,2
women,2
there’s,2
midterm,2
on,2
got,2
was,2
men,2
least,1
This,1
Canadian,1
not,1
I’m,1
@GrAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,1
reminds,1
Because,1
opposite,1
time,1
it’s,1
room,1
is,1
message,1
existential,1
dread,1
"ah,",1
so,1
some,1
us,1
shouldn’t,1
"risk,",1
then,1
bad,1
brought,1
by,1
feel,1
power,1
completely,1
peak,1
you’re,1
busy,1
trying,1
hit,1
weekly,1
PRs,1
lmfao,1
I’ve,1
heard,1
an,1
evolutionary,1
reason,1
when,1
why,1
"down,",1
and,1
can,1
Corp,1
through.,1
You,1
think,1
probably,1
guess,1
it;,1
have,1
Swole,1
also,1
no,1
my,1
@Andy,1
from,1
mothering,1
Created,1
new,1
poll,1
'are,1
where,1
wanted,1
in,1
end,1
should,1
"same,",1
plz,1
life?':,1
there,1
https://group.me/2KLsAj3KjeSg,1
which,1
even,1
0,1
"Which,",1
"fair,",1
more,1
than,1
your,1
phase,1
wouldn’t,1
performance,1
Nuclear,1
hunt;,1
could,1
take,1
Propulsion,1
if,1
19,1
final,1
mf’er,1
question,1
used,1
can’t,1
same,1
made,1
He,1
we,1
were,1
smh,1
studying,1
"from,",1
right?”,1
but,1
thought,1
"myself,",1
“of,1
course,1
Trenaman,1
