,count
the,88
to,78
a,78
and,51
of,49
in,38
I,35
you,31
is,31
for,29
my,26
it,24
have,23
that,23
your,21
be,18
at,18
they,17
on,16
but,16
more,16
not,14
got,13
if,13
than,13
are,13
all,11
with,11
an,11
by,11
as,11
work,10
up,10
can,10
about,10
ever,10
from,9
just,9
this,9
people,9
do,8
or,8
like,8
chemical,8
The,8
I've,8
would,8
And,8
get,8
I'm,8
going,7
one,7
My,7
it's,7
there,7
no,7
has,7
now,7
good,6
been,6
their,6
getting,6
some,6
new,6
was,6
fucking,6
pay,6
how,6
out,6
them,6
its,6
make,6
so,6
It's,6
you're,6
don't,6
few,6
then,6
year,5
2,5
feel,5
catholic,5
think,5
any,5
had,5
Also,5
You,5
time,5
So,5
will,5
hours,5
having,4
really,4
lot,4
other,4
without,4
only,4
use,4
same,4
were,4
know,4
days,4
engineering,4
might,4
over,4
guys,4
probably,4
go,4
general,4
sucks,4
long,4
told,4
ones,4
what,4
through,4
usually,4
trip,4
right,3
fuck,3
years,3
&,3
coworkers,3
could,3
lots,3
needed,3
whole,3
3,3
point,3
down,3
still,3
isn't,3
Not,3
very,3
you'll,3
But,3
If,3
school,3
much,3
too,3
way,3
meeting,3
message,3
A,3
friends,3
where,3
symptoms,3
until,3
am,3
easy,3
less,3
definitely,3
call,3
lol,3
different,3
pretty,3
months,3
plants,3
apply,3
he,3
gasoline,3
high,3
back,3
best,3
company,3
9,3
cannot,3
also,3
me,3
Its,3
used,3
Yeah,3
part,3
off,3
hires,3
bonuses,3
Like,3
hire,3
bad,3
likely,3
mouth,3
her,3
did,3
drunk,3
aren't,3
into,3
bombardment,2
hand,2
own,2
when,2
safety,2
even,2
hit,2
PP,2
Thats,2
order,2
6,2
made,2
volume,2
That,2
drink,2
which,2
religion,2
working,2
supply,2
engineers,2
may,2
something,2
mention,2
credit,2
Just,2
air,2
thing,2
training,2
John,2
industrial,2
production,2
monkeys,2
seen,2
against,2
personally,2
unless,2
dozen,2
both,2
boomer,2
One,2
No,2
8,2
Check,2
why,2
bar,2
NJ,2
salary,2
there's,2
Any,2
today,2
Oof,2
church,2
bonus,2
hearing,2
desk,2
10%,2
sure,2
ear,2
real,2
another,2
half,2
took,2
because,2
sit,2
amount,2
space,2
person,2
Don't,2
next,2
They,2
need,2
money,2
cost,2
terrible,2
tried,2
type,2
enough,2
priest,2
least,2
car,2
throw,2
produce,2
try,2
permanent,2
see,2
they're,2
issues,2
Half,2
while,2
st,2
anyone,2
ended,2
after,2
site,2
never,2
due,2
political,2
opposite,2
newer,2
protestants,2
later,2
This,2
around,2
I'd,2
must,2
offered,2
side,2
buy,2
homeowner,2
(and,2
actually,2
take,2
deleted,2
4,2
Never,2
group,2
plumbing,2
touch,2
jobs,2
contractor,2
plumber,2
saying,2
contact,2
trades,2
since,2
drill,2
way.,2
decided,2
Lol,2
day,2
should,2
building,2
rent,2
passwords,2
housing,2
able,2
running,2
Lots,2
Or,2
nice,2
lifetime,2
excel,2
place,2
trust,2
"work,",2
mostly,2
month,2
tool,2
job,2
does,2
"really,",2
gonna,2
Fuck,2
everything,2
here,2
water,2
things,2
Some,2
qualified,2
most,2
it.,2
ordering,1
preaches,1
regularly,1
Baptist,1
recovery,1
concert,1
stone,1
tires,1
tok,1
makes,1
held,1
burning,1
device,1
"""halls",1
false,1
"anti-christ""",1
crazy,1
shot,1
screens,1
somewhat,1
Crossclimate,1
ancient,1
history,1
"2,",1
"it,",1
Michelin,1
skull,1
diocese,1
smaller/cheaper,1
tik,1
insurance,1
mornings,1
covers,1
tbi,1
worry,1
meant,1
pro,1
statement,1
NRR's,1
"disclaimer,",1
gotten,1
loud,1
NRR,1
you'd,1
22,1
Imagine,1
cause,1
damage,1
vibration,1
transfer,1
iPhone,1
product,1
Philadelphia,1
Camden,1
phones.,1
first,1
12,1
shootings,1
US,1
happened,1
pre,1
ridgely,1
single,1
cracks,1
wpm,1
roof.,1
inspect,1
She,1
put,1
hole,1
eardrums,1
safer,1
blowing,1
eardrum,1
cousin,1
Grace,1
awful,1
fact,1
fun,1
https://www.nytimes.com/1975/02/26/archives/motive-is-a-mystery-in-shooting-of-teacher-and-priest.html,1
broken,1
(before,1
split),1
decree,1
churches,1
built,1
brick,1
bumblefuck,1
live,1
Where,1
follow,1
harder,1
county,1
many,1
those,1
"chains,",1
glass,1
done,1
generally,1
combined,1
store,1
"Nah,",1
example,1
easier,1
chemist,1
coffee,1
assumption,1
based,1
Hutchinson,1
Rousseau,1
Jasper,1
Kane,1
McKeen:,1
penicillin,1
Dermot,1
Manning:,1
scale,1
technical,1
polyethylene,1
H,1
Perry:,1
developed,1
Sulfuric,1
acid,1
process,1
Bible,1
2-3,1
secure,1
bridge,1
disciplines,1
(The,1
making,1
~$4,1
virgin,1
"life,",1
ground,1
phone,1
times,1
past),1
screen,1
upbringing,1
3rd,1
100%,1
chill,1
me.,1
pc,1
"children""",1
"""do",1
"things,",1
"better,",1
gaming,1
"hate""",1
"""those",1
damned,1
swine,1
street,1
corrupt,1
kinda,1
cool,1
"""engineer""",1
Margaret,1
town,1
burnings,1
modern,1
drinks,1
Go,1
full,1
goblin,1
mode,1
Do,1
it'll,1
lesson,1
want,1
"kid,",1
taken,1
concussion,1
approach,1
formed,1
mentioned,1
once,1
internship,1
starting,1
August,1
propagate,1
"Bosch,",1
Carl,1
sme,1
"annually,",1
starves,1
world,1
o,1
geography,1
alone),1
Your,1
wait,1
rn:,1
https://www.instagram.com/reel/CrscI__gE8P/?igshid=NTc4MTIwNjQ2YQ==,1
1m,1
Anything,1
Haber,1
meaningless,1
"scale,",1
whom,1
plastics,1
pharmaceuticals,1
cookies,1
biased,1
strong,1
"case,",1
Fritz,1
infections,1
non-cavity,1
she,1
sometimes,1
doing,1
Sales,1
ways,1
happen,1
No....,1
insecure,1
"""cool""",1
instead,1
we're,1
boring,1
active,1
shooter,1
"soon,",1
wfh,1
dry,1
(They,1
HVAC,1
far,1
blow,1
backpack,1
employer,1
friend,1
is....,1
"calcs,",1
paper/desk,1
ENT,1
engineering.,1
peacefully*,1
dumbass,1
forgetting,1
headphones,1
connected,1
computer,1
phone:,1
*plays,1
sanctified,1
dynamite,1
max,1
volume*,1
It,1
involves,1
stabbing,1
"shit,",1
I's,1
ISIS,1
Well....,1
up),1
shoot,1
super,1
involved,1
"Btw,",1
sheathing,1
dental,1
practice,1
droplets,1
entrained,1
exhalation,1
gas,1
daily,1
1/2,1
lb,1
night,1
vapor,1
breath,1
government.,1
useful,1
hold,1
candidate,1
resume,1
wet,1
handle,1
pages,1
At,1
physical,1
"""job",1
"fair""",1
pager,1
liquid,1
Tbh,1
paragraphs,1
stains,1
along,1
lines,1
"""you're",1
looking,1
"dentist""",1
bc,1
builders,1
1,1
patient,1
time),1
decay,1
can't,1
chance,1
turn,1
cavities,1
sick,1
appointments,1
note:,1
lowkey,1
adult?,1
"Same,",1
page,1
*people,1
office:,1
quiet,1
similar,1
underside,1
transit,1
"uber,",1
justification,1
consequence,1
infrastructure,1
God,1
i,1
teacher,1
"that,",1
hated,1
her....,1
piss,1
When,1
schism,1
confronted,1
show,1
standard,1
cardiology,1
workup.,1
reduce,1
hunch,1
costochondritis,1
served,1
country,1
etc,1
radio,1
breathing,1
ability,1
closed,1
decrease,1
suction,1
near,1
tubes,1
Take,1
shit,1
bosses,1
talk,1
drive,1
listen,1
bars,1
"hands,",1
almost,1
thinking,1
anything,1
interesting).,1
roof,1
10,1
minutes,1
give,1
(chest,1
realize,1
pain),1
(not,1
frys,1
"be,",1
Dallas,1
interview,1
NYC,1
miss,1
Which,1
microcenter?,1
Same,1
I'll,1
dm,1
attic,1
"Monday,",1
oddly,1
quick,1
Make,1
groups,1
engineer,1
nuke,1
"uh,",1
seconds,1
outside,1
nice.,1
Paterson,1
Houston,1
6am,1
2002,1
Scooby-Doo,1
tomorrow,1
10am,1
dead,1
3:30,1
start,1
nursing,1
bang,1
energy,1
casually,1
certification,1
typing,1
100plus,1
Myocarditis,1
before?,1
tesla,1
buys),1
explain,1
dog,1
law,1
holes,1
burned,1
"(diesel,",1
teachers,1
willpower,1
destination,1
"route,",1
Good,1
3/10,1
settlement,1
simply,1
"recall,",1
sending,1
teams,1
someone,1
meeting?,1
Did,1
shitty,1
fixing,1
engine,1
direct,1
"in,",1
stranded,1
"desert,",1
several,1
hate,1
corroded,1
"grand,",1
Literally,1
Throw,1
discipline,1
LEL,1
$825,1
fuckign,1
$5000,1
raises,1
though,1
%,1
"clear,",1
status,1
gross,1
How,1
report,1
recommend,1
Bently,1
signing,1
Hyundai,1
"Huntsville,",1
week,1
they'll,1
worked,1
tf,1
Went,1
units,1
shutdown,1
didn't,1
"cards,",1
recalibrate,1
Theoreticslly,1
volatile,1
reasons....,1
last,1
gone.,1
passed.,1
"accidents,",1
rate,1
income,1
offset,1
provide,1
tools,1
equipment,1
jobsite.,1
"college,",1
conditioned,1
office,1
being,1
adult,1
complaining,1
again.,1
feeling,1
playing,1
games,1
prices,1
Gasoline,1
$1.957/gallon,1
excempt,1
interesting,1
little,1
