,count
to,10
a,9
I,9
and,9
of,8
that,7
me,7
is,6
but,5
the,5
with,4
as,4
you,3
I've,3
being,3
just,3
not,3
in,3
post,2
moment,2
kinda,2
myself,2
have,2
well,2
by,2
much,2
at,2
new,2
lot,2
given,2
for,2
love,2
time,2
None,2
be,2
it.,2
bad,2
my,2
group,2
dont,2
has,2
been,2
😅,2
an,2
flooding,1
stimuli.,1
coped,1
developing,1
piss,1
poor,1
memory,1
try,1
live,1
doing,1
Its,1
worked,1
"me,",1
I'm,1
"Also,",1
if,1
it's,1
healthy,1
means,1
sure,1
biggest,1
happy,1
years!!,1
ask,1
mess,1
clean,1
why,1
may,1
"much,",1
part,1
plenty,1
serotonin,1
(and,1
seeing,1
pickles,1
🥰),1
"Yeah,",1
this,1
friend,1
"ever,",1
couldn't,1
Almost,1
better,1
feeling,1
"Yep,",1
definitely,1
feel,1
that.,1
On,1
possibly,1
related,1
"note,",1
applicable),1
honestly.,1
utterly,1
powerless,1
help,1
your,1
sibling?,1
(Friends/other,1
relatives,1
are,1
don't,1
Itd,1
insecurity,1
"for,",1
"Heh,",1
"far,",1
perfectly,1
fine,1
me!,1
My,1
dancing,1
skills,1
every,1
single,1
"well,",1
most,1
life,1
often,1
times,1
find,1
wanting,1
go,1
absolute,1
up',1
dance.,1
know,1
without,1
too,1
having,1
gauging,1
putting,1
ask.,1
on,1
am,1
effort,1
habit,1
people,1
only,1
since,1
also,1
So,1
ssoooo,1
here's,1
around,1
line,1
into,1
"That,",1
spent,1
energy,1
where,1
improve,1
"practice,",1
damn,1
can,1
it,1
incredibly,1
hard,1
draining,1
sometimes.,1
havent,1
"socialize,",1
reading,1
people/people,1
get,1
"wrong,",1
way,1
are/will,1
look,1
differently,1
even,1
solitude,1
You,1
sir,1
said,1
so,1
right,1
there,1
think,1
realize,1
alienate,1
socializing,1
❤,1
Also...yaaayyy,1
intrusive,1
thoughts,1
constantly,1
Thank,1
Hey,1
complete,1
'turtling,1
bug,1
crossed,1
any,1
😅😢😬,1
Forgot,1
"this,",1
snowball.,1
comfortable,1
Our,1
very,1
friendly,1
kitten,1
🥺🥺🥺🥺🥺,1
Lmao,1
"naaa,",1
like,1
Dave,1
those,1
"line,",1
nickname,1
