,count
I,48
a,37
the,34
of,29
and,27
to,27
for,15
my,15
is,13
in,13
you,11
like,11
at,10
have,10
but,9
on,9
then,8
was,8
me,7
so,7
that,7
when,7
or,7
it's,6
up,6
about,6
it,6
an,6
this,6
not,5
I'm,5
time,5
with,5
we,5
Christmas,5
once,4
your,4
Chinese,4
which,4
just,4
didn't,4
do,4
out,4
rope.,4
rope,4
REI,3
them,3
as,3
spent,3
realize,3
In,3
It,3
use,3
are,3
remember,3
never,3
before,3
So,3
both,3
they,3
were,3
need,3
The,3
another,3
year,3
other,3
place,3
still,3
had,3
presidential,3
probably,3
really,3
git,3
after,3
much,3
get,3
bit,2
same,2
you're,2
feel,2
even,2
using,2
library,2
unless,2
hours,2
5,2
than,2
C,2
lot,2
sense,2
day,2
commits,2
kind,2
think,2
most,2
every,2
some,2
since,2
people,2
should,2
into,2
permanent,2
things,2
who,2
Jews,2
entire,2
-,2
getting,2
guy,2
go,2
will,2
also,2
lifetime,2
record,2
from,2
existence,2
off,2
sounds,2
couple,2
went,2
maybe,2
got,2
"things,",2
experience,2
if,2
food,2
frog,2
very,2
last,2
while,2
too,2
2,2
painful,2
Eve,2
used,2
etc.,2
all,2
flight,2
news:,2
how,2
enough,2
At,2
A,2
dream,2
Sunday,1
concourse),1
15.,1
Found,1
Chick-fil-A,1
realized,1
reasonably,1
(don't,1
there.,1
brought,1
own,1
things.,1
twice,1
might,1
wandering,1
priced,1
those,1
love,1
walkways?,1
moving,1
underground,1
Spent,1
usually,1
thing,1
50',1
camp.,1
could,1
grabbing,1
feet,1
end,1
cut,1
being,1
various,1
bundles,1
Will,1
knots.,1
tear,1
home.,1
already,1
beside,1
shed,1
uses.,1
silent,1
20+,1
GB,1
growing,1
(but,1
reaffirms,1
uses,1
person,1
hardy,1
random,1
respect,1
remembers,1
register,1
knots,1
Once,1
timesheets,1
thinking,1
joy,1
everyday,1
express,1
can't,1
tie.,1
supply,1
browse,1
Now,1
visit.,1
job.,1
least,1
positive,1
number.,1
burnt,1
"rest,",1
hole,1
files,1
something,1
