,count
a,35
I,32
to,31
you,28
and,24
the,22
in,15
your,15
is,14
of,14
for,13
it,13
on,11
be,11
get,10
my,10
If,9
have,8
None,7
up,7
me,7
like,6
had,6
all,6
not,6
was,6
that,6
now,6
but,5
And,5
would,5
just,5
at,5
I'm,5
guys,5
so,5
are,5
as,5
good,4
from,4
if,4
more,4
You,4
hours,4
work,4
try,4
need,4
when,4
mean,4
they,4
know,4
done,4
been,4
his,3
well,3
It's,3
can,3
an,3
there,3
about,3
worked,3
go,3
got,3
overtime,3
its,3
much,3
pretty,3
do,3
back,3
or,3
here,3
job,3
new,3
find,3
Just,3
that's,3
could,3
I've,3
with,3
home,2
finals,2
did,2
don't,2
think,2
starting,2
were,2
years,2
only,2
amazing,2
am,2
trade,2
right,2
Voluntold,2
than,2
what,2
see,2
didn't,2
guy,2
move,2
What,2
close,2
some,2
Maybe,2
sleep,2
ladder,2
somewhere,2
read,2
anything,2
trying,2
make,2
people,2
most,2
where,2
how,2
he,2
look,2
before,2
car,2
exact,2
off,2
by,2
time,2
Idk,2
other,2
heart,2
warming,2
im,2
making,2
What's,2
that.,2
parents,2
till,2
front,2
else,2
hard,2
week,2
living,2
indeed,2
It,2
no,2
this,2
extra,2
pay,2
still,2
going,2
The,2
online,1
hypothetical,1
sold,1
biodeisel,1
distillation,1
column,1
dust,1
Michael,1
thinking,1
you're,1
Kenya,1
world,1
$0.65/Hr,1
now?,1
employees,1
currently,1
subway,1
sandwiches,1
thought,1
Annette,1
company,1
honest,1
NFL,1
Amish,1
music,1
called,1
Ironic,1
type,1
fall,1
damage,1
How's,1
position,1
failed,1
weird,1
Life,1
who,1
wrote,1
big,1
Tarzan,1
went,1
space,1
Or,1
sulfur,1
kind,1
coolant,1
it?,1
Bolton,1
take,1
Bath,1
Chinchilla,1
Go,1
it's,1
AND,1
times,1
worse,1
hangovers,1
23,1
25,1
Photosynthesis,1
one,1
must,1
goals,1
ya,1
working,1
gets,1
aesthetic,1
has,1
stocking,1
stuffer,1
Ah,1
Jesus,1
Tuesday?,1
great,1
song,1
Bob,1
Saget,1
immune,1
prepared,1
few,1
530.,1
come,1
Last,1
2,1
weeks,1
3am,1
Discussion,1
generous,1
term,1
we've,1
beard,1
it'll,1
smooth,1
AF,1
her,1
confusing,1
3,1
Furnace,1
out.,1
Gonna,1
Hell,1
27,1
convinced,1
mat,1
died,1
any,1
Aint,1
48,1
prospects,1
space?!,1
longer,1
concrete,1
"""must",1
"do""",1
goal,1
away,1
truth,1
He,1
tried,1
sneaky,1
hide,1
tennis,1
ball,1
vacation,1
burn,1
well.,1
Leave,1
benefits,1
table,1
Huffing,1
xenon,1
band,1
How,1
existentially,1
below,1
forks,1
looked,1
far?,1
freshman,1
high,1
school,1
kinda,1
flow,1
create,1
time.,1
we,1
are.,1
you've,1
Dreading,1
talking,1
video,1
games,1
irony,1
remembering,1
"hat,",1
ear,1
"plugs,",1
glasses,1
getting,1
name,1
training,1
confined,1
lost,1
good.,1
FE,1
crackers,1
there's,1
looking?,1
lab,1
cool,1
friends,1
"Man,",1
$$$,1
manufacturing.,1
quicker,1
another,1
fork,1
@Jacob,1
Noll,1
ladder?,1
Do,1
borrow,1
$40,1
buy,1
x2,1
You're*,1
supposed,1
visualization,1
analysis,1
can't,1
Your,1
supervisor,1
wanted,1
dipping,1
them,1
anything?,1
Lofi,1
raccoon,1
"Or,",1
did.,1
remember,1
data,1
internship,1
idk,1
nonideal,1
situation,1
Google,1
offers,1
free,1
6,1
month,1
course,1
passed,1
something,1
50,1
neaters,1
flooreos,1
whether,1
goes,1
difference,1
isn't,1
Existential,1
meats,1
meantime,1
dread,1
Smoked,1
Preach,1
casinos,1
reservation,1
Indian,1
brother.,1
@Aaaaaaaaaapossum,1
fan,1
staff,1
helped,1
It'll,1
waking,1
Cheese,1
Dammit,1
stings,1
thats,1
2nd,1
booby,1
ago,1
solve,1
A,1
Lot*,1
Gotcha.,1
As,1
rule,1
thumb,1
measurable,1
results,1
"necessary,",1
proves,1
industry,1
in?,1
Bdg,1
keeps,1
Ya,1
hobby,1
bird,1
watching,1
might,1
blue,1
footed,1
...I'm,1
very,1
dog,1
while,1
absolutely,1
whose,1
should,1
dream.,1
frees,1
Because,1
4,1
does,1
classes,1
least,1
mind,1
their,1
keep,1
sure,1
feel,1
fine,1
everything,1
far,1
damn,1
retake,1
right?,1
At,1
My,1
use,1
you'll,1
Also,1
skills?,1
there.,1
Ew,1
ridden,1
cap,1
Was,1
curve,1
29th,1
going.,1
put,1
communication,1
they'd,1
Some,1
shutdowns?,1
through,1
career,1
maybe,1
compliment,1
count,1
flight,1
ALOT,1
schedule,1
lot,1
even,1
entitled,1
probably,1
couldn't,1
Thanks!,1
tazes,1
clipped,1
apartment.,1
All,1
"now,",1
follow,1
appointments,1
doctors,1
stuff,1
able,1
around,1
enough,1
broke,1
ribs,1
way,1
boss,1
wait,1
microchip,1
(non,1
exempt),1
(exempt),1
non,1
Pedestrian.,1
money,1
best,1
resume,1
wouldn't,1
worried,1
infertility,1
future,1
like?,1
fucking,1
loved,1
Disco,1
elysium,1
goty,1
shih,1
tzu,1
same,1
class,1
lift.,1
year,1
into,1
complacency,1
Yes.,1
Put,1
time/money,1
saving,1
numbers,1
exempt,1
salaried,1
clock,1
Oof,1
cave,1
painting,1
fun,1
sad,1
fashionable,1
coat,1
apologize,1
embarrassing,1
myself,1
everyone,1
Ya.,1
9th,1
level,1
yet,1
I'll,1
let,1
THERES,1
PROBABLY,1
