,count
the,105
to,87
I,86
a,78
None,52
and,50
my,36
of,36
it,35
in,33
that,33
you,32
for,31
is,27
so,25
was,22
me,22
at,20
like,19
have,18
be,18
with,17
on,17
I'm,16
just,15
but,15
out,15
this,13
about,13
from,12
not,11
has,10
get,10
It's,9
if,9
them,9
up,9
because,8
being,8
it's,8
don't,8
they,8
It,8
your,8
as,8
some,8
can,8
an,8
back,7
This,7
You,7
took,7
where,7
The,7
lol,6
If,6
time,6
am,6
one,6
by,6
do,6
feel,6
are,6
then,6
also,6
there,6
when,6
way,6
right,6
go,5
before,5
his,5
than,5
too,5
know,5
off,5
last,5
So,5
had,5
or,5
going,5
been,5
fridge,5
were,5
tests,5
more,5
presentation,5
people,5
without,4
parents,4
glad,4
really,4
having,4
lot,4
That,4
many,4
their,4
would,4
see,4
now,4
no,4
into,4
same,4
should,4
said,4
make,4
Yeah,4
house,4
That's,4
here,4
through,4
baby,4
My,4
good,4
ago,4
yeah,4
all,4
can't,3
pixel,3
jack,3
call,3
far,3
And,3
most,3
(and,3
semester,3
I'll,3
any,3
since,3
least,3
coming,3
need,3
send,3
you're,3
pretty,3
Currently,3
point,3
getting,3
will,3
they're,3
day,3
thankfully,3
why,3
down,3
They,3
could,3
think,3
parts,3
Me,3
worse,3
always,3
probably,3
that's,3
A,3
In,3
how,3
work,3
give,3
gonna,3
search,3
eve,3
use,3
every,3
doing,3
we,3
talk,3
only,3
things,3
I've,3
he,3
wish,3
instead,3
headphones,3
message,3
class,3
still,3
kind,3
noise,3
background,3
doll,3
doesn't,3
3,3
dread,3
long,2
cryptic,2
again,2
public,2
want,2
watch,2
awhile,2
scary,2
screaming,2
happy,2
close,2
talking,2
🙃,2
first,2
void,2
gender,2
alone,2
angry,2
hit,2
google,2
month,2
other,2
definitely,2
worst,2
Headphone,2
5a,2
fuck,2
year,2
we've,2
much,2
deleted,2
directly,2
play,2
few,2
next,2
material,2
bad,2
night,2
fast,2
We're,2
OS,2
Was,2
even,2
makes,2
"""I",2
there.,2
did,2
Having,2
years,2
thinking,2
taking,2
wanna,2
Florida,2
while,2
got,2
complain,2
Also,2
meds,2
tell,2
different,2
now.,2
what,2
similar,2
another,2
though,2
best,2
say,2
family,2
wife,2
there's,2
worked,2
Food,2
husband],2
therapist,2
both,2
ever,2
shit,2
adhd,2
testing,2
around,2
course,2
Well,2
assignment,2
