,count
the,27
and,20
of,16
to,14
I,11
a,9
in,9
but,8
I'm,8
you,7
with,7
your,6
is,6
like,6
so,6
have,5
it,5
my,5
or,5
at,5
all,5
had,4
not,4
then,4
day,4
that,4
on,4
it's,3
autistic,3
most,3
same,3
bc,3
out,3
best,3
for,3
F,3
are,3
if,3
senior,2
eat,2
different,2
else,2
them,2
one,2
verse,2
any,2
we,2
It's,2
picking,2
Also,2
NJ,2
year,2
before,2
words,2
through,2
check,2
about,2
family,2
when,2
everyone,2
an,2
be,2
bugs,2
there,2
sorry,2
something,2
you're,2
lizard,2
wish,2
was,2
advice,2
time/location,2
whole,2
friends,2
could,2
wedding,2
make,2
can,2
1,2
@Conor,1
scheduling,1
driving,1
Townsend,1
night,1
17th)?,1
(March,1
want,1
Friday,1
hang,1
way,1
long,1
date,1
back,1
Happy,1
birthday!!,1
agree,1
@RyAAAAAAAAAAAAAAAn,1
Bowers,1
normal,1
VIPS,1
anyone,1
she,1
didn't,1
those,1
main,1
got,1
Huntsville,1
part,1
Does,1
Or,1
sudden,1
choir,1
concerts,1
what,1
wedding?,1
Any,1
chance,1
miss,1
prior,1
reception,1
rehearsal,1
dinner?,1
maybe,1
cheating,1
talk,1
sister,1
doing,1
photos,1
time,1
and/or,1
weekend,1
commitment,1
fault,1
can't,1
And,1
that's,1
school,1
just,1
"""popular""",1
"""lots",1
Maybe,1
offer,1
organize,1
post-wedding,1
brunch,1
next,1
What,1
that?,1
Oh,1
know,1
I've,1
been,1
since,1
no,1
twelve,1
-,1
besties,1
"OCD,",1
"ADHD,",1
from,1
big,1
bubble,1
mental,1
illness,1
BIG,1
MOOD,1
OMG,1
all?,1
diagnosed,1
event,1
in-school,1
"friends""",1
easy,1
awkward,1
mildly,1
nerd,1
caliber,1
embarrassing,1
musical,1
"event,",1
high,1
did,1
until,1
Christmas,1
life,1
concert,1
last,1
break,1
"""the",1
"solo""",1
(two,1
"seniors,",1
usually,1
guy,1
"girl,",1
every,1
NJIT,1
two,1
random,1
dilemma,1
several,1
Congratulations!!!!,1
night),1
tried,1
front,1
"home,",1
entire,1
None,1
They're,1
supposed,1
"diagnosis,",1
Autistic,1
drive,1
Yes,1
years,1
cage,1
frustrating,1
:-(,1
even,1
great,1
comfort,1
do,1
virtual,1
hug,1
validation,1
horrible,1
person,1
afterward,1
painfully,1
festive,1
each,1
phone,1
lot,1
sobbed,1
memes,1
holy,1
Which,1
"afterwards,",1
...,1
level,1
oh,1
dropped,1
parking,1
cracked,1
second,1
deep,1
pet,1
OCD,1
relate,1
ADHD,1
"school,",1
fumbled,1
up,1
singing,1
choral,1
solos,1
avoid,1
depressed,1
santa,1
solving,1
Here,1
answer,1
"""on",1
paper,1
only,1
after,1
"50/50?""",1
get,1
away,1
$26,1
head,1
feed,1
amazing!!!!!,1
everything,1
Congratulations!!!!!,1
$50-$100,1
people,1
ridiculous,1
budgets,1
nothing,1
emotionally,1
kind,1
sing,1
ceremony,1
Oof,1
really,1
luck,1
Is,1
them?,1
!!!!,1
less,1
multiple,1
going,1
classmates,1
birthdays,1
around,1
birthday,1
interferes,1
trying,1
plan,1
things,1
makes,1
feel,1
special,1
will,1
February,1
28th!!,1
this,1
heartbreaking,1
bringing,1
yes,1
spots,1
house,1
where,1
pointing,1
Said,1
telling,1
H,1
