,count
the,89
to,80
group.,56
A,51
was,49
deleted.,49
message,49
has,47
changed,43
name,38
added,30
left,25
group,19
Gray,19
joined,17
Aaaaaaaaaaaaaaaaaaaaannette,16
a,11
is,11
message.,11
pinned,10
James,9
Tomlinson,9
Chase,9
'Pool,9
Dread,9
Party!',9
Corey,8
McElderry,8
group's,8
Wise,8
Justin,7
Matthew,6
going,6
Hansen,6
Judge,5
Kim,5
Phillips,5
Goes,5
John,5
not,5
Jarrett,4
about,4
Trevor,4
Holt,4
Garbage,4
(Existential,4
Bowers,4
Clark,4
Erichson,4
Poll,4
and,4
Sean,4
you,4
Alec,4
at,4
Whaley,4
we,4
Powell,4
Mandel,3
Teems,3
The,3
Natalia,3
Cameron,3
Ross,3
Acosta,3
Jones,3
DreAAAAAAAAAAAAad,3
Grayson,3
Daniel,3
GrAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,3
Michael,3
Existential,3
from,3
Mad),3
Borg,3
topic,3
to:,3
Group),3
Horner,3
Outrun,3
Lydia’s,3
Home,3
Base,3
Blake,3
Enjoyer,3
Void,2
People),2
expire,2
rejoined,2
Hines,2
expired,2
Average,2
Dilloooooooooooooooooooon,2
Mike,2
RyAAAAAAAAAAAAn,2
Aronson,2
Gaughan,2
fall,2
Muenchen,2
He,2
MAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAtthew,2
an,2
Group,2
RAAAAAAAAAAAAAAAAAAAAAAAAAAAleigh,2
Staring,2
Lydia,2
AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAnderson,2
Got,2
JAAAAAAAAAAAAAAAAAAAAstin,2
Drew,2
RyAAAAAAAAAAAAAAAn,2
you...',2
'Have,2
Hannah,2
Matt,2
Jason,2
Job,2
When,2
fan,2
Aaaaaaaaaapossum,2
RAAAAAAAAAAAAAAAAAAAAAAleigh,2
Josh,2
undecided,2
Dillon,2
Annette,2
(Where,2
Feist,2
For,2
Kendall,2
pick,2
up,2
Olaf,2
Yenawine,2
Wessels,2
LM,2
Vavases,2
Roth,2
Tom,2
so,2
removed,2
here?,2
still,2
are,2
Glass,2
Half,2
Full,2
that,2
can,2
Jack,2
ourselves,2
why,2
learn,2
in,2
'are,2
Brennan,2
Raaaaaaaaaaasin,2
whoops,2
Anderson,2
Spencer,2
wanted,2
be,2
where,2
Chris,2
Williams,2
this,2
phase,2
life?',2
your,2
of,2
Ryan,2
We,2
AC,1
Richardson,1
Smoot,1
unpinned,1
MaAAAAAAAAAaAaANdel,1
AAAAAAAAÀAAAshley,1
EEEEEAAAAAAAAAAAAAAAAAAA,1
Kelly,1
McGaw,1
EEEEEEAAAAAAAAAAAAAAAAAAA,1
Bobby,1
Weihao,1
Meredith,1
Conor,1
Patterson,1
“Positive,1
Schenk,1
Owen,1
canceled,1
Bin/Bog,1
Brown,1
Fuentes,1
Rubin,1
Vibes”,1
Wall,1
Joy,1
Reyes,1
Bin,1
Solis,1
Javier,1
Envy,1
Lee,1
admin.,1
D(r)ead,1
Kincaid,1
made,1
Andy,1
Alex,1
Gunther,1
JoshuAAAAAAAAAAAAAA,1
Brad,1
BrAAAAAAAAAAAAAAAAAAAAAAAAAAAd,1
Derek,1
Sophia,1
Bergmann,1
staring,1
back,1
void,1
xkcdbot,1
JAAAAAAAAAAAAAAAAAAck,1
bot,1
Huang,1
Jonathan,1
I,1
Long,1
Jesse,1
Gordon,1
Jeff,1
Guy,1
Nelson,1
Peyton,1
Vitez,1
Cory,1
Oestreich,1
Clint,1
Mitchell,1
Trenaman,1
face),1
Daaaaaaaaaaaaaaaaaaaaaaaave,1
"Bateman,",1
Spin,1
Raaaaaaaaàaaaaaaasin,1
Rice,1
avatar,1
Kevin,1
Lucas,1
67,1
Darcy,1
Mangan,1
ANNA,1
🍌,1
Alexander,1
Schumacher,1
"Hao,",1
Sarah,1
Throttle,1
Callicott,1
"Mangan,",1
"Hines,",1
Wrongdog,1
Easton,1
"Shafner,",1
Foodie,1
(And,1
Backup,1
Zack,1
"Holt,",1
Taylor,1
Thompson,1
Mason,1
Gaelan,1
Rocket,1
AAAAAAAAAAAAAAAverage,1
always,1
Marcella,1
Samantha,1
Dead,1
Ari,1
Townsend,1
Tristan,1
existential,1
Darrion,1
Leslie,1
like,1
icon,1
(crying,1
Nymberg,1
having,1
lydia,1
Darius,1
Case,1
(In,1
Inness,1
Vidas,1
crisis,1
Shrimp-fried,1
Marquez,1
Jenny,1
Ben,1
Deng,1
Steven,1
Nordstrom,1
Adison,1
Yaghoubi,1
others,1
