,count
I,234
the,163
a,156
to,155
and,117
of,80
my,73
in,70
is,69
that,63
you,61
for,61
have,59
it,58
was,53
on,45
with,44
I'm,38
like,38
but,34
😅,32
just,30
not,30
are,30
get,29
out,29
your,29
me,27
this,27
had,26
be,25
or,24
at,24
My,23
an,20
when,20
all,20
can,20
None,19
🙃,19
how,19
feel,19
if,19
they,18
so,18
from,18
It,18
But,17
some,17
would,17
one,17
It's,16
And,16
think,16
don't,16
love,16
do,16
time,16
need,16
I've,16
up,15
That,15
about,14
their,14
much,14
it.,14
them,14
good,14
people,14
her,13
it's,13
If,13
shit,13
got,13
will,12
who,12
You,12
still,12
That's,12
really,12
say,12
first,11
back,11
what,11
little,11
last,11
that's,11
you're,11
has,11
make,11
So,11
more,10
being,10
try,10
things,10
getting,10
we,10
Oh,10
as,10
😩,10
than,10
also,10
We,10
been,10
no,10
know,10
after,9
The,9
"Also,",9
something,9
This,9
too,8
help,8
actually,8
then,8
start,8
go,8
way,8
mom,8
our,8
us,8
work,8
into,8
might,7
parents,7
once,7
never,7
there,7
sure,7
didn't,7
did,7
better,7
can't,7
does,7
fucking,7
"Yea,",7
his,7
reason,7
🤷‍♀️,7
probably,7
I'll,7
bc,7
brain,7
different,6
only,6
always,6
while,6
bad,6
before,6
fun,6
depression,6
want,6
house,6
over,6
friends,6
adhd,6
he,6
most,6
now,6
folks,6
🥰,6
trying,6
few,6
why,6
♥️,6
shitty,6
doing,6
👀,6
anything,6
own,6
kind,6
times,6
Big,6
terrible,6
give,5
started,5
life,5
happy,5
She,5
going,5
should,5
3,5
that.,5
able,5
Do,5
finally,5
They,5
many,5
"it,",5
y'all,5
even,5
🤣,5
let,5
great,5
day,5
new,5
fuck,5
There,5
myself,5
part,5
fairly,5
best,5
years,5
come,5
call,5
made,5
am,5
worst,5
having,5
derby,4
point,4
Or,4
put,4
enough,4
kid,4
realize,4
therapist,4
they're,4
next,4
Just,4
Don't,4
show,4
see,4
4,4
hate,4
Bc,4
fucked,4
around,4
damn,4
couple,4
she,4
hope,4
home,4
find,4
done,4
Huntsville,4
trauma,4
Tho,4
Now,4
sad,4
every,4
second,4
year,4
therapy,4
look,4
♥️♥️,4
😅.,4
0,4
No,4
both,4
Not,4
other,4
He,4
high,4
could,4
makes,4
"Oh,",4
How,4
terrible.,4
process,4
taking,4
ask,4
lol,4
off,4
yourself,4
nice,4
sorry,4
real,3
since,3
fine,3
very,3
worked,3
making,3
without,3
instead,3
"guilty,",3
shit.,3
doesn't,3
moving,3
same.,3
face,3
appointment,3
went,3
dealing,3
stuff,3
She's,3
etc,3
already,3
here,3
week,3
2,3
either,3
were,3
bitch,3
gender?,3
adhd.,3
group,3
"that,",3
asleep,3
drugs,3
♥️♥️♥️,3
happened,3
hugs,3
girl,3
down,3
asked,3
tho,3
basically,3
spin,3
A,3
quads,3
yoga,3
experience,3
stop,3
used,3
anxiety,3
tried,3
gets,3
aren't,3
use,3
fall,3
wasn't,3
tell,3
by,3
hard,3
less,3
test,3
"But,",3
same,3
there.,3
any,3
90s,3
recently,3
ever,3
Thanks,3
early,3
country,3
One,3
"also,",3
I'd,3
tastes,3
mental,3
There's,3
