,count
to,8
you,7
a,6
I,6
just,4
and,4
get,4
your,3
hours,3
life,3
the,3
work,3
what,3
it,3
not,3
take,3
that,3
haven't,2
much,2
�,2
salary,2
in,2
doesn't,2
am,2
like,2
who,2
met,2
out,2
ever,2
how,2
breaks,2
is,2
actually,2
than,2
for,2
have,2
week,2
more,2
paid,2
"rotten,",1
all,1
branches,1
tree,1
toxic,1
peace,1
those,1
cut,1
so,1
"life,",1
medicine,1
Or,1
me,1
cold,1
here,1
stuff,1
help,1
ride,1
We're,1
:),1
yet,1
They,1
Interesting,1
decade,1
per,1
Trust,1
page,1
heard,1
always,1
true,1
takes,1
at?,1
None,1
guys,1
there,1
are,1
girls,1
"you,",1
them,1
yet!,1
Would,1
any,1
shoe,1
store,1
work?,1
Where,1
alone,1
Matt,1
got,1
job??,1
Congrats!,1
Whether,1
done.,1
task/deliverable,1
"work,",1
matter,1
where,1
dude,1
position,1
deserve,1
kinda,1
Oof,1
vacations?,1
I've,1
pay,1
you're,1
"Matt,",1
one,1
wise,1
oh,1
"itself,",1
"company,",1
start,1
You,1
"wait,",1
exempt,1
idk,1
right,1
haha,1
for?,1
ask,1
I'm,1
technically,1
non-exempt,1
even,1
too,1
but,1
it's,1
whole,1
Is,1
matter.,1
60,1
process,1
If,1
worth,1
OT,1
full,1
of,1
anxiety,1
strongly,1
1,1
20,1
want,1
or,1
suffer,1
i,1
do,1
there's,1
feel,1
Do,1
Your,1
can't,1
dislike,1
employees,1
pain,1
my,1
will,1
we,1
last,1
name,1
speaks,1
name?,1
original,1
group's,1
this,1
was,1
uh,1
suffering,1
Lmao,1
