,count
I,27
and,21
the,21
a,19
to,19
it,15
my,15
of,12
just,12
so,11
I'm,11
that,10
in,9
for,8
have,8
was,8
be,8
still,7
is,7
you,7
but,7
it's,6
work,6
this,6
me,5
don't,5
one,5
like,5
The,5
not,5
on,5
can't,4
day,4
with,4
call,4
get,4
can,4
None,4
at,4
really,4
It's,3
what,3
they,3
Fuck,3
far,3
Move™,3
That's,3
today,3
time,3
And,3
well,3
pretty,3
My,3
even,2
mental,2
remember,2
sure,2
goes,2
turned,2
it.,2
had,2
want,2
any,2
vouch,2
everyone.,2
words,2
lot,2
Stanley,2
or,2
as,2
now,2
also,2
going,2
"me,",2
move,2
feel,2
about,2
if,2
covid,2
lol,2
center,2
few,2
hungover,2
may,2
"today,",2
through,2
never,2
all,2
job,2
when,2
from,2
I've,2
game,2
being,2
he,2
I'll,2
because,2
off,2
spent,2
outcome,1
bearing,1
BECAUSE,1
didn't,1
"Absolutely,",1
his,1
kids,1
Or,1
maybe,1
played,1
how,1
much,1
Subnautica,1
that's,1
enough,1
fix,1
tbh,1
No,1
would,1
"don't,",1
who,1
unappreciated,1
"safe,",1
cause,1
food,1
they're,1
customer,1
"case,",1
could,1
result,1
long,1
term,1
success!,1
"mean,",1
suited,1
asked,1
opposed,1
used,1
"Yep,",1
worked.,1
asking.,1
sexy,1
better,1
issue,1
humidity,1
job),1
sucks,1
nice,1
thought,1
line,1
up,1
trying,1
not-Kratos,1
Happy,1
"everyone,",1
hope,1
your,1
friends,1
aren't,1
complete,1
utter,1
set,1
douchebags,1
unlikely,1
together.,1
It,1
"(Context,",1
reader,1
"it,",1
Ask™,1
vs,1
scuba,1
psychic's,1
Whatever,1
"say,",1
appointment,1
skin,1
came,1
back,1
quite,1
painful,1
process,1
nightmare,1
an,1
🙃,1
restaurant,1
"experience,",1
reinforcing,1
brother,1
skillset,1
coming,1
quitting,1
patient,1
actually,1
help,1
them,1
without,1
transferring,1
then,1
info,1
need,1
health,1
back.,1
least,1
good,1
though,1
Halfway,1
learning,1
new,1
are,1
current,1
looking,1
do,1
stuff,1
programming,1
(or,1
using,1
"degree,",1
which,1
isn't,1
terribly,1
programming),1
therapist,1
called,1
anyway,1
graduated,1
therapy,1
today!,1
self,1
isolation,1
making,1
lose,1
"mind,",1
been,1
already,1
At,1
roller,1
coaster,1
sweet,1
told,1
40,1
"Welp,",1
got,1
god,1
damn,1
again.,1
"Disclaimer,",1
said,1
after,1
"drinks,",1
year,1
Irwin,1
months,1
"ago,",1
message,1
stuck,1
heard,1
together,1
last,1
Today,1
sort,1
AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,1
"""comes",1
"together"",",1
learn,1
deal,1
happens,1
organize,1
"can,",1
accept,1
though...,1
life,1
will,1
time.,1
Thankfully,1
lungs,1
escaped,1
unscathed!,1
liver,1
scenario,1
very,1
"that,",1
two,1
1996,1
success,1
rate,1
"This,",1
In,1
by,1
hate,1
We,1
both,1
me.,1
"lot,",1
live.,1
certain,1
Probably,1
drg!,1
dangerously,1
high,1
AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,1
levels,1
guys,1
people,1
great,1
"oil,",1
actually.,1
PC,1
Lofi,1
cry/dissociate,1
"A,",1
make,1
myself,1
"productive,",1
pic,1
follow,1
foodie,1
group,1
As,1
beats,1
sale!,1
especially,1
Buy,1
sex,1
Beard,1
express,1
pure,1
bad,1
"mad,",1
take,1
dread,1
whether,1
run,1
Can,1
"going?""",1
caused,1
"""How's",1
soon.,1
"You,",1
people.,1
meh,1
"Like,",1
frustrating,1
one?,1
"just,",1
date,1
events,1
this.,1
starts,1
shouldn't,1
think,1
third,1
testosterone,1
men's,1
version,1
soap,1
shit.,1
helped,1
we're,1
actually!,1
let,1
small,1
UGH.,1
happen.,1
Therapy,1
expensive,1
dwindle,1
alcohol,1
yummy,1
game's,1
idea,1
sounds,1
fun,1
"""I",1
Don't,1
worry,1
seriously,1
considering,1
paid,1
til,1
else's,1
Wednesday,1
someone,1
those,1
Well,1
anyone,1
needs,1
novice,1
"gunner,",1
hmu!,1
Lol,1
started,1
playing,1
"yesterday!""",1
25,1
head,1
"Shit,",1
end,1
meant,1
"fun,",1
reason,1
mine.,1
service.,1
Steve,1
update,1
birthday.,1
@,1
Jesus,1
"19th,",1
annual,1
birthday/christmas,1
party,1
awesome,1
Especially,1
since,1
Maine,1
great!,1
Deep,1
Rock,1
Galactic?,1
"Wow,",1
home,1
Here's,1
these,1
"Yay,",1
nothing,1
positive,1
deteriorating,1
"health,",1
let's,1
"""Stanley",1
"Parable,",1
love,1
"tell,",1
minute,1
free,1
currently,1
having,1
crisis,1
door.,1
*RED*,1
"walked,",1
damned,1
👀,1
"drunk,",1
glad,1
only,1
Because,1
everyone,1
reads,1
"Yeah,",1
place,1
"on.""",1
gets,1
loved,1
room,1
"much,",1
inordinate,1
amount,1
"there,",1
clearly,1
goooo,1
