,count
I,24
to,23
the,16
a,13
on,12
None,12
is,12
and,10
that,10
for,9
you,7
in,7
I’m,6
but,6
like,6
are,6
some,6
not,6
at,5
my,5
car,5
right,5
been,5
was,5
Me,4
of,4
I’ve,4
have,4
be,4
it,4
just,4
with,4
time,3
now.,3
😅,3
get,3
feel,3
got,3
about,3
me,3
work,3
do,3
this,3
more,3
want,3
those,3
what,3
That’s,2
learn,2
"Thanks,",2
You,2
"news,",2
will,2
weekend,2
everyone’s,2
😓,2
or,2
going,2
all,2
off,2
it.,2
Perfect,2
enjoy,2
"Yeah,",2
news:,2
when,2
"Well,",2
no,2
how,2
totaled.,2
"Welp,",2
left,2
easy,2
looking,2
has,2
it?,2
That,2
particular.,2
hard,2
sure,2
know,2
very,2
Good,2
scream,2
don’t,2
it’s,2
myself,2
great!!!,1
did,1
up?,1
director,1
beat,1
acting,1
toes,1
doing,1
How,1
fun!,1
"there,",1
hit,1
them.,1
gotten,1
🫠,1
today,1
once,1
broke,1
think,1
went,1
two,1
"yesterday,",1
Planning,1
choice,1
doing?,1
"Eh,",1
feels,1
surprise,1
almost,1
back,1
"feet,",1
opera,1
knocked,1
Like,1
"Honestly,",1
week,1
since,1
working,1
vent,1
open,1
suggestions?,1
🤣,1
Ooo.,1
discovered,1
past,1
here!!!,1
audit,1
Congrats!!!,1
Want,1
🌮,1
What,1
most,1
front,1
Do,1
song.,1
recently,1
week.,1
playlist,1
starts,1
five,1
songs,1
doesn’t,1
🤪,1
https://www.youtube.com/watch?v=4Xp06u2qn3A,1
🥳,1
For,1
inspirational,1
music,1
build,1
them,1
"up,",1
me.,1
positive,1
turned,1
appointment.,1
Are,1
type,1
differences,1
obviously,1
color/trim.,1
too.,1
Already,1
leads,1
allowed,1
cars.,1
In,1
house?,1
priorities,1
getting,1
shifted,1
disable,1
photos/video,1
someone,1
follow,1
Or,1
rules,1
seen,1
stuff,1
arsenal,1
would,1
definitely,1
arsenal?,1
any,1
of.,1
Ditto,1
that^,1
okay?,1
doctor’s,1
Friday,1
projects,1
doing.,1
officially,1
try,1
Thanks!,1
hopefully,1
It,1
hospital,1
clear,1
things,1
up.,1
Might,1
shock,1
impact,1
Driving,1
afterwards.,1
home,1
course!,1
"road,",1
wreck,1
Bad,1
accident.,1
blacked,1
Should,1
help,1
than,1
mile,1
away,1
Yep.,1
out,1
fault,1
moment,1
less,1
impact.,1
And,1
good,1
am,1
excited,1
empty,1
New,1
move,1
actually,1
It’s,1
rough,1
from,1
recently.,1
This,1
into,1
void.,1
still,1
face.,1
taking,1
selfies,1
avoid,1
mirror,1
place,1
can,1
through,1
exciting!!!,1
experiences.,1
pretty,1
limited,1
exposure,1
Controls,1
engineering,1
do.,1
personally,1
A,1
cute,1
owl,1
dog,1
photo,1
helping,1
fight,1
woefully,1
possible.,1
appreciate,1
take,1
unhurt,1
where,1
only,1
