,count
a,32
and,28
I,26
the,23
to,21
I’m,16
that,15
for,13
it,12
of,11
is,11
like,11
on,10
my,10
in,8
work,8
so,8
at,8
me,8
this,8
just,7
get,7
but,7
from,6
you,6
as,6
be,6
it’s,6
with,5
grad,5
feel,5
out,5
months,5
-A,5
job,5
I’ve,5
not,5
an,5
new,5
life,4
final,4
by,4
after,4
jobs,4
here,4
I’ll,4
long,4
hours,4
make,4
😂,4
how,4
now,4
all,4
hour,4
legit,4
very,4
are,4
Work,4
about,4
one,3
Off,3
your,3
up,3
good,3
where,3
And,3
place,3
That’s,3
actually,3
week,3
far,3
shift,3
But,3
if,3
dream,3
through,3
2,3
we,3
It’s,3
can,3
was,3
do,3
or,3
guess,3
My,3
when,3
what,3
plant,3
have,3
different,2
quit,2
gotta,2
form,2
ready,2
those,2
Or,2
look,2
60,2
then,2
bad,2
food,2
company,2
during,2
no,2
manufacturing,2
right,2
offer,2
industry,2
lol.,2
didn’t,2
there,2
Week,2
production,2
@Wrongdog,2
Boeing,2
hard,2
"M-T,",2
sleep,2
safety,2
much,2
getting,2
made,2
weird,2
alive,2
better,2
Yea,2
vibe,2
weeks,2
tired,2
y’all,2
😩,2
interview,2
:),2
love,2
lab,2
since,2
lol,2
They,2
round,2
To,2
that’s,2
lines,2
Why,2
did,2
cause,2
you’re,2
F-Sun,2
worked,2
Feb,2
don’t,2
inside,2
less,2
supervisor,2
weekend,2
"Wed-Th,",2
got,2
been,2
understand,2
shifts),2
tough,2
today,2
into,2
best,2
they,2
12,2
comp,2
heard,2
anything,1
crazy,1
around,1
"experience,",1
Temporary,1
reaping,1
misery,1
6,1
figures.,1
own,1
choose,1
AT,1
adventure,1
Also,1
macros,1
sexy,1
Blake.,1
No.,1
happens,1
work.,1
Charge,1
quintuple,1
OT,1
pays,1
efforts,1
over,1
worth,1
Albuquerque,1
move,1
tonight,1
8pm-6am,1
flight,1
leaves,1
warm,1
transferred,1
Made,1
Good,1
year,1
Townsend,1
"book,",1
career,1
advancement,1
little,1
adventure.,1
Took,1
boring,1
Georgia,1
pay,1
had,1
1,1
incredible,1
8,1
later,1
planning,1
@Conor,1
star,1
Pasadena,1
seems,1
nuclear,1
ABQ,1
reached,1
them,1
ask,1
me.,1
"sign,",1
wouldn’t,1
bother??,1
piggyback,1
child,1
teapot,1
fed,1
"planned,",1
alarms.,1
something,1
important,1
"flight,",1
"meeting,",1
"whatev,",1
body,1
will,1
wake,1
15,1
than,1
references,1
told,1
"news,",1
nothing,1
cool,1
"too,",1
Houston.,1
Lots,1
stuff,1
For,1
"worth,",1
age,1
rewards/benefits,1
actually!,1
afterwards.,1
furnace,1
birthdays,1
powered,1
center,1
dying,1
Wtf,1
furnaces,1
cost,1
much?,1
20th,1
tf,1
manny,1
Must,1
"H,",1
ladders,1
couple,1
daily?,1
scissor,1
before,1
Sandia,1
National,1
Labs,1
(I’ll,1
Q,1
clearance,1
that).,1
interviewed,1
"strongly,",1
wait,1
hear,1
"them,",1
both,1
*wrestle,1
wanting,1
to.,1
Goddamn,1
fuck,1
Does,1
anyone,1
wrestle,1
quitting,1
walking,1
lifts,1
try,1
escape,1
Now,1
every,1
second,1
down,1
=,1
$$$,1
blame,1
"supervisor,",1
slides,1
fast,1
This,1
morning.,1
"lol,",1
would,1
wait.,1
stay,1
lmao,1
think,1
crushed.,1
Telework,1
position,1
based,1
"STL,",1
job.,1
That,1
their,1
We’ve,1
void,1
many,1
7,1
left,1
grads,1
48,1
any,1
"9am,",1
is.,1
guy,1
standing,1
forks,1
senior,1
💀,1
Have,1
dudes,1
live,1
hang,1
helicopters?,1
easily,1
"150k,",1
looks,1
fun.,1
"Terrifying,",1
hey,1
it’ll,1
fill,1
leave,1
-I’m,1
11,1
friendly,1
Makes,1
interviews,1
safe,1
focused,1
Sigma!,1
yea,1
Wisconsin,1
reminds,1
lot,1
Canada:,1
super,1
"people,",1
3,1
environmentally,1
"conscious,",1
always,1
Millipore,1
outdoors/active.,1
site.,1
Wonderful,1
retention,1
rate,1
tell,1
is:,1
min,1
engineers,1
"alarm,",1
thee,1
total,1
class,1
chemical,1
green,1
hear!,1
Basically,1
grad”.,1
hourly,1
would’ve,1
bank,1
even,1
"operator,",1
“new,1
say,1
terms,1
free,1
slave,1
labor.,1
haven’t,1
single,1
40,1
Last,1
6p-6a,1
week.,1
fucking,1
grand,1
experience,1
controls,1
faces,1
engineering,1
