,count
I,7
and,6
the,6
a,4
your,3
health,3
is,3
that,3
for,3
to,3
in,3
are,2
it,2
their,2
be,2
you,2
my,2
that's,2
think,2
on,2
Fuck,2
else,2
sick,2
materials,2
you.,2
of,2
have,2
forever,2
devastating,1
till,1
Iowa,1
None,1
The,1
implications,1
obvious,1
em,1
Nice,1
Damn,1
crazy,1
😎😎😎😎,1
called,1
out,1
about,1
from,1
corn,1
check:,1
work,1
way,1
No,1
sweat,1
Priority,1
job,1
actually,1
What,1
more,1
today,1
important,1
than,1
couple,1
boomers',1
opinions,1
because,1
at,1
an,1
not,1
shivering,1
leaving,1
anyway.,1
Taking,1
lawfully,1
awarded,1
leave,1
isn't,1
"""burning",1
"bridges"".",1
If,1
those,1
jackasses,1
want,1
burn,1
bridge,1
over,1
you're,1
"it,",1
🫠,1
coughing,1
off,1
combo,1
flu,1
shot/COVID,1
booster?,1
"No,",1
Who,1
will,1
cobbed,1
side,1
open-ended,1
question,1
lives.,1
effects.,1
world,1
vaccine,1
thoughts,1
save,1
lives,1
then,1
disappear,1
"engineering,",1
with,1
Andy,1
here,1
hard,1
damage,1
right?,1
answer,1
when,1
intrusive,1
or,1
simply,1
would,1
cookout?,1
"science,",1
can't,1
no,1
one,1
degrees,1
NASA,1
labs,1
so,1
thank,1
I'm,1
understanding,1
My,1
serve,1
me,1
subpoena,1
unhelpful,1
like,1
physical,1
"that,",1
gonna,1
social,1
fabric,1
mental,1
immeasurable,1
Mark,1
Zuckerberg,1
That's,1
really,1
tough,1
"question,",1
don't,1
"do,",1
She,1
they,1
Your,1
yeah,1
Hell,1
easier,1
pretend,1
someone,1
said,1
"them,",1
makes,1
them,1
disregard.,1
bag,1
Bet,1
Congratulations,1
"Sometimes,",1
can,1
Secure,1
anyone,1
indeed,1
