,count
the,79
I,77
a,64
to,64
and,41
you,39
that,34
of,33
is,29
in,26
my,26
for,25
have,25
but,25
me,23
it,22
not,19
was,17
like,16
your,16
just,15
I'm,14
be,13
get,12
this,12
as,12
an,11
good,11
can,11
This,10
from,10
you're,10
all,10
it's,10
w/,9
with,9
think,9
every,9
what,9
don't,9
You,8
know,8
because,8
has,8
on,8
out,8
by,8
about,8
so,8
are,7
those,7
It's,7
people,7
they,7
My,7
at,7
if,7
do,6
message,6
got,6
deleted,6
been,6
there,6
team,6
that's,6
It,6
few,6
no,6
or,5
None,5
never,5
job,5
very,5
being,5
last,5
gonna,5
would,5
had,5
1,5
didn't,5
A,5
some,5
also,5
time,4
much,4
through,4
super,4
hair,4
how,4
really,4
more,4
will,4
go,4
here,4
make,4
3,4
when,4
could,4
you.,4
That,3
sure,3
always,3
If,3
F.,3
person,3
their,3
into,3
friends,3
dread,3
come,3
enough,3
early,3
even,3
(I,3
They,3
The,3
ever,3
too,3
done,3
But,3
😌,3
believe,3
work,3
Why,3
little,3
hasn't,3
thanks,3
jobs,3
brain,3
hard,3
say,3
am,3
spend,3
kind,3
thought,3
them,3
kinda,3
felt,3
back,3
long,3
things,3
use,3
Phone,3
I've,3
-,3
doesn't,3
most,3
pack,3
up,3
DING,3
So,3
Is,3
should,3
did,3
until,2
vid.,2
question,2
Are,2
word,2
flood,2
mostly,2
gone,2
must,2
"Like,",2
one,2
health,2
attention,2
ur,2
show,2
looks,2
mind,2
ago,2
give,2
That's,2
men,2
look,2
videos,2
media,2
well,2
coding,2
RESIST,2
Have,2
T,2
skills,2
saying,2
"it,",2
might,2
trying,2
day,2
want,2
talks,2
lot,2
it.,2
management,2
then,2
phone,2
often,2
between,2
harder,2
keep,2
advice,2
F,2
bad,2
well.,2
doing,2
said,2
gets,2
cut,2
where,2
help,2
"very,",2
game,2
What,2
feel,2
world,2
hair.,2
isn't,2
airport,2
Okay,2
Who,2
ask,2
took,2
someone,2
haven't,2
walkways,2
front,2
concourse,2
than,2
sound,2
"sprinkle""",2
going,2
May,2
least,2
now,2
may,2
I'd,2
Clearly,2
big,2
enter,2
energy,2
feedback,2
Ashley,2
looking,2
coming,2
both,2
went,2
warm,2
around,2
there's,2
love,2
makes,2
And,2
who,2
fine,2
weekend,2
easy,2
reputation,2
"Nah,",2
thing,2
afford,2
run,2
put,2
chat,2
bet,2
after,2
hour,2
forgot,2
e-mail,2
feed,2
Still,2
PREceding,1
GREATNESS,1
miss,1
old,1
pictures,1
"days,",1
morning,1
opening,1
Pandora's,1
box,1
"Fwiw,",1
starts,1
haircut,1
"""How",1
"haircut??""",1
metajob,1
follows,1
SO,1
"away""",1
try,1
check,1
there.,1
More,1
messed,1
Also,1
https://www.tiktok.com/t/ZT8PATkks/,1
almost,1
Receding?,1
works,1
😋,1
joke,1
In,1
"experience,",1
usually,1
similar,1
Indian,1
"food,",1
which,1
sense,1
geographically,1
Currently,1
85%,1
pay,1
tone.,1
non-neutral,1
heard,1
Atlas,1
called,1
mid.,1
sign,1
carrying-the-whole-world,1
workout,1
rated,1
sinuses,1
thingy,1
"C,",1
cleared,1
ate,1
I...,1
strong.,1
delicious,1
kill,1
Apropos,1
nothing,1
Earth,1
deserve,1
uberpepperoncini,1
stands,1
unrated,1
worried,1
stood,1
"""Take",1
call,1
Terminally,1
Online,1
sometimes,1
boss,1
Put,1
misery,1
before,1
whine,1
China,1
stretch,1
down,1
crossed,1
food.,1
moving,1
part,1
used,1
baaaacckk,1
foooooooorrtthhh.,1
trapped,1
escape,1
C,1
leader,1
"pack,",1
starting,1
mad,1
"line,",1
rest,1
far,1
bus,1
shadow,1
damn,1
precedes,1
choose,1
drama,1
mad.,1
"dead,",1
off,1
C.,1
these,1
"Also,",1
impotent,1
incontinent.,1
found,1
ploy,1
weird,1
beings,1
saw,1
walls,1
D:,1
food,1
court.,1
😤,1
pounds,1
conversion,1
rate,1
Schrute,1
Bucks?,1
Happy,1
Big,1
"Thank,",1
fellow,1
dreaders!,1
we,1
holiday,1
"lighter,",1
48,1
yourself,1
narrow,1
grave,1
vaguely,1
cozy,1
way,1
C:,1
B.,1
Only,1
affordable,1
block,1
flight,1
queueing,1
Song,1
emerged,1
moment:,1
'til,1
board,1
F:,1
Not,1
real.,1
place,1
lost,1
backrooms,1
11,1
years.,1
doomed,1
rush,1
hear,1
wrong,1
"crowded,",1
generically,1
sucky,1
Congratulations!,1
"welcome,",1
Adeline,1
Rose!,1
Doo,1
eet,1
cash,1
METAPHORS,1
that),1
A:,1
days,1
When,1
"longer,",1
complaint.,1
wouldn't,1
remarks,1
How,1
y'all,1
things?,1
broad,1
"y'all,",1
"stores,",1
rating,1
panicking,1
10k,1
late,1
own,1
schedule,1
"set,",1
security,1
minutes,1
realizing,1
"bring,",1
fly?,1
"Hi,",1
What's,1
difference,1
each,1
mere,1
terminal,1
interchangeably,1
3-hour,1
layover,1
Atlanta,1
"today,",1
walked,1
terminals,1
A-F,1
gave,1
onto,1
left,1
😫,1
negative,1
women's,1
dating,1
channel,1
tiktok,1
basically,1
up-front,1
monetary,1
expectations,1
dating.,1
She,1
taking,1
treatment,1
term,1
(good),1
uses,1
justify,1
emotional,1
manipulation,1
"dating,",1
leading,1
guilting,1
sorta,1
academia,1
FWIW,1
coined,1
"""Sprinkle",1
All,1
vid,1
"real,",1
"""sprinkle",1
mentality,1
popular,1
"lately,",1
unfortunately.,1
nowhere,1
near,1
funny,1
40,1
oysters,1
awkward,1
cheesecake,1
gist,1
https://www.tiktok.com/t/ZT8AkYwQ1/,1
started,1
masters,1
research,1
thesis,1
C+.,1
"degree,",1
"toxic,",1
factory,1
rough.,1
supposed,1
sponsored,1
process,1
"job,",1
kept,1
working,1
field.,1
record,1
only,1
guy,1
w/o,1
grad,1
degree,1
(been,1
case,1
actually,1
lasted,1
changed,1
work),1
Peace,1
fleeting.,1
enjoy,1
every.,1
Single.,1
Second.,1
can't,1
yet.,1
week,1
apply,1
limits,1
Georgia,1
"from,",1
tourism,1
industry,1
today?,1
fitting,1
child.,1
bring,1
made,1
not-me?,1
...Unacceptable.,1
displeases,1
me.,1
meme-hunting),1
month,1
visit,1
Georgia.,1
shall,1
tonight,1
panic,1
tomorrow,1
👌🏼😌🤌🏼,1
Pretend,1
ended,1
"mark,",1
valid,1
inclined,1
viral,1
We're,1
