,count
a,97
the,71
and,69
I,68
to,56
of,38
for,37
in,34
you,26
was,24
is,24
it,22
have,21
None,19
your,18
me,18
but,16
just,16
on,16
they,15
that,15
with,15
at,15
an,13
had,13
like,13
are,13
when,11
so,11
got,11
up,11
get,11
better,10
this,10
it’s,9
I’m,9
we,9
can,9
my,9
be,9
as,8
You,8
out,7
some,7
been,7
do,7
one,7
could,7
has,6
their,6
The,6
still,6
new,6
or,6
all,6
because,6
who,6
also,6
long,5
feel,5
if,5
about,5
people,5
would,5
his,5
he,5
didn’t,5
good,5
will,5
job,5
know,5
really,5
almost,5
cause,5
I’ve,5
there,5
them,5
getting,5
It,4
This,4
only,4
back,4
what,4
then,4
being,4
it.,4
though,4
don’t,4
think,4
too,4
buy,4
someone,4
see,4
you’re,4
go,4
always,4
least,4
guys,4
into,4
Beyond,4
probably,4
At,4
already,4
nice,4
pay,4
more,4
Also,4
from,4
not,4
why,4
Just,4
🤣,3
life,3
So,3
work,3
ULA,3
even,3
told,3
manager,3
point,3
world,3
going,3
->,3
A,3
married,3
best,3
by,3
That’s,3
last,3
turned,3
moving,3
ton,3
place,3
Don’t,3
were,3
If,3
offer,3
They,3
time,3
We,3
come,3
while,3
looking,3
basically,3
put,3
start,3
right,3
find,3
those,3
raise,3
Sounds,3
over,3
might,3
kinda,3
year,3
car,3
way,3
them.,3
day,3
Is,2
takes,2
owners,2
different,2
worth,2
elsewhere.,2
want,2
kids,2
everything,2
engineering,2
trip,2
New,2
"Yeah,",2
train,2
nice.,2
years,2
lived,2
man!,2
hiring,2
But,2
management,2
shit,2
tent,2
wedding,2
boss,2
large,2
Works,2
Still,2
down,2
many,2
us,2
referral,2
few,2
chance,2
terrible,2
ever,2
people.,2
30min,2
"college,",2
keep,2
little,2
decided,2
great,2
you.,2
Publix,2
than,2
My,2
works,2
@Raaaaaaaaaaasin,2
open,2
kind,2
whoops,2
bad,2
after,2
He,2
working,2
well,2
previous,2
every,2
months,2
couple,2
bought,2
where,2
friends,2
arrested,2
clothes,2
coffee,2
in.,2
It’s,2
here’s,2
Facebook,2
next,2
type,2
That,2
crap,2
Gravity,2
Those,2
thing,2
crappy,2
me.,2
Tell,2
though.,2
min,2
lot,2
came,2
bonus,2
regular,2
apply,2
thought,2
along,2
these,2
making,2
issue,2
parts,2
off,2
laid,2
give,2
actually,2
meme,2
small,2
memory,2
sent,2
Man,2
money,2
should,2
big,2
make,2
tried,2
you’ll,2
grass,2
between,2
Go,2
wanted,2
won,2
guy,2
we’re,2
increase,2
Then,2
Are,2
3,2
tell,2
outside,2
bunch,2
"manager,",2
left,2
driving,2
having,2
around,2
couldn’t,2
say,2
soap,2
lost,2
interviewed,2
dove,2
day.,2
talking,2
company,2
same,2
doing,2
message,2
@Corey,2
position,2
never,2
underpaid,2
everyday,2
Give,1
TV,1
enjoy,1
purchases,1
research,1
"Years,",1
two,1
ask,1
"whoa,",1
ago.,1
😅,1
"comfortable,",1
wing,1
Most,1
Christmas,1
fit,1
wasting,1
washing,1
wearing,1
afraid,1
spend,1
vs,1
resume,1
comfort/quality,1
referred,1
happening,1
Thanks,1
exactly,1
cedar.,1
overdue,1
Awful,1
trees,1
freezer,1
Costco,1
there.,1
donated,1
hundreds,1
thousands,1
dollars,1
candidates.,1
https://instagram.com/bertskykaiser?igshid=NzAzN2Q1NTE=,1
Damn.,1
brother,1
law,1
took,1
"week,",1
artwork,1
his.,1
"low,",1
please,1
reach,1
out.,1
quantity.,1
bulk.,1
rental.,1
list,1
owner,1
What,1
flex.,1
Buying,1
am,1
clip,1
Kroger,1
coupons,1
app,1
sometimes,1
short,1
"closer,",1
Lobby,1
"nicer,",1
Got,1
9.5%,1
words,1
Nawh,1
station,1
match,1
integration.,1
bolts,1
standard,1
Metric,1
Chick-fil-A,1
Hobby,1
Hertz,1
sleep.,1
rentals,1
Look,1
library,1
book,1
sale,1
You’re,1
thinking,1
Kurt,1
Cobain.,1
Vonnegut,1
died,1
Oh.,1
Not,1
aren’t,1
jeans,1
recently,1
organized,1
$300k,1
Trump,1
Jan,1
6,1
rally.,1
"Yes,",1
conflicted,1
allergic,1
felt,1
overtime.,1
person.,1
"tool,",1
toy,1
"car,",1
socks.,1
things,1
checkout,1
aisle,1
dollar,1
jinx,1
either,1
dude!,1
Someone,1
"scent,",1
asked,1
smiling,1
happy,1
flat,1
dead,1
"inside,",1
smile.,1
Huntsville?,1
pass,1
aptitude,1
test,1
multi,1
sanitizer,1
8+years,1
gym,1
standards.,1
compatible,1
seems,1
accommodating,1
Hope,1
out!,1
sketchy,1
says,1
person,1
Target.,1
section,1
may,1
hand,1
"single,",1
swole,1
god,1
candy,1
piece,1
fruit,1
Asian,1
pear,1
pomegranate.,1
Something,1
special.,1
engineer,1
now,1
especially,1
beer,1
Both.,1
Yesterday,1
background,1
noise,1
insane,1
mainly,1
can’t,1
focus.,1
Especially,1
Hit,1
idea,1
what’s,1
-guy,1
me!,1
When,1
NASA,1
job?,1
simulation,1
anyway.,1
shop,1
floor,1
"degree,",1
tech,1
"better,",1
touches,1
soft,1
forgot,1
rush,1
formulas,1
man.,1
years.,1
performance,1
wasn’t,1
behind,1
anything,1
duties.,1
boss.,1
F,1
listen,1
trying,1
hallway.,1
order,1
set,1
ended,1
hole,1
🫠,1
she,1
her,1
ruined,1
instead,1
bamboo,1
"forest,",1
ISO,1
quiet,1
Hire,1
until,1
unless,1
something,1
changes.,1
"job,",1
target,1
"back,",1
need,1
retain,1
employee,1
monitor,1
quitting,1
Fuck.,1
sucks,1
15,1
excitement,1
File,1
stolen,1
vehicle,1
police,1
report.,1
Maybe,1
they’ll,1
Lisa,1
picking,1
gonna,1
pipe,1
"see,",1
live,1
"stomach,",1
safe,1
sorry.,1
Yellow,1
Fever,1
vaccine,1
"day,",1
guessing,1
that’s,1
waiting,1
since,1
virus?,1
lyrics,1
Which,1
other,1
ones,1
did,1
get?,1
Part,1
maintenance,1
Apple,1
song?,1
Kid,1
regularly,1
“normal”,1
immediately,1
World,1
level,1
dropping,1
chips,1
seat.,1
heat,1
occasionally,1
reflow,1
solder,1
contacts.,1
Yeah.,1
contractor,1
senior,1
benefits,1
"now,",1
"Seattle,",1
threw,1
"high,",1
reasonable,1
hourly,1
rate.,1
Have,1
heard,1
back.,1
referring,1
posting,1
desk,1
2-3in,1
¯\_(ツ)_/¯,1
"Also,",1
market,1
weird.,1
gotten,1
verbal,1
offers,1
several,1
times,1
contract,1
funding,1
fall,1
through.,1
hopefully,1
applied,1
compensated,1
commute,1
reduce,1
number,1
days/week,1
Long,1
commutes,1
draining.,1
"yeah,",1
5.2%,1
rejected,1
needle,1
use,1
shots,1
concern,1
code,1
crops,1
circle,1
square,1
profile,1
photo.,1
"whack,",1
store,1
1,1
photo,1
chat,1
Expect,1
fault,1
biblical,1
plagues,1
plus,1
ones!,1
similar,1
distance,1
Charles,1
Yo.,1
Apply,1
referral.,1
They’re,1
code.,1
Probably,1
treatment,1
engineering…,1
family,1
reunion,1
that.,1
cycle.,1
8years,1
100k.,1
compared,1
"others,",1
illegal,1
transfer,1
M&P,1
"Gravity,",1
look,1
they’re,1
For,1
"reference,",1
English,1
uses,1
"metric,",1
All,1
wash,1
loss,1
year.,1
waters,1
lots,1
stress,1
induced,1
Brooklyn.,1
airport,1
figured,1
York,1
sights.,1
Looked,1
traffic,1
routes,1
maps,1
90min,1
12,1
miles,1
WTF.,1
Any,1
Do,1
caffeine,1
work?!,1
itching,1
fired,1
review,1
security,1
"good,",1
pretty,1
inflation,1
Rock,1
JFK,1
layover,1
Dude.,1
Paris,1
triceratop,1
Nvm.,1
Fuck,1
suggestions.,1
Electric,1
MG,1
roadster,1
https://www.facebook.com/marketplace/item/750207003092414/,1
More,1
options:,1
Caddy,1
https://www.facebook.com/marketplace/item/294956136088633/,1
Ricer,1
https://www.facebook.com/marketplace/item/762381274900463/,1
Best,1
advice,1
"marketplace,",1
misspell,1
Wtf!,1
Nice,1
De,1
footage,1
Gaulle,1
VESA,1
designer,1
Should,1
above,1
Trenaman,1
❤️,1
games.,1
damn,1
layoffs,1
lizard,1
night,1
didn’t.,1
bookshelf,1
🙄,1
tag,1
assemble,1
@Andy,1
Cover,1
ass,1
“snacks”,1
blows,1
"up,",1
direction.,1
word,1
trigger,1
bugs,1
Parents,1
believe,1
Benadryl,1
Can,1
list.,1
again,1
circuits),1
(aka,1
4:30pm,1
final,1
electrical,1
upper,1
"him,",1
okay,1
video,1
deal,1
"lottery,",1
recreating,1
through,1
scene,1
news,1
Bro.,1
How,1
$150k/year?,1
half,1
tests,1
our,1
checking,1
pharmacy?,1
Amazon,1
catch,1
trained,1
meh.,1
add,1
@Wrongdog,1
"Honestly,",1
yeah.,1
take,1
chuckle,1
places,1
chain.,1
large.,1
easily,1
bunk,1
house,1
extra,1
isn’t,1
bathroom,1
charge,1
fail,1
most,1
mornings.,1
talk,1
higher,1
boss’s,1
front,1
“I’ve,1
"hard,",1
work),1
(Except,1
In,1
oil.,1
reminded,1
move,1
swing,1
excel,1
scripts,1
Good,1
luck,1
assholes.,1
Airlines,1
bulk,1
contracts,1
glut,1
sure!,1
cheap,1
leverage,1
knowing,1
up.,1
Leave,1
🥳,1
3%,1
purchasing,1
power!,1
Sell,1
soul,1
morning,1
impossible,1
finish,1
“Chester,1
"movers,",1
marble,1
Fun,1
top,1
"table,",1
@JoshuAAAAAAAAAAAAAA,1
"me,",1
packed,1
pieces,1
box,1
drawer”,1
drawers”,1
marketplace,1
unloaded,1
"upset,",1
blow,1
broken,1
Super,1
heard.,1
"stuff,",1
deleted,1
huge,1
Buick,1
https://www.facebook.com/marketplace/item/732298807808651/,1
suggestions,1
VW,1
exam.,1
Gravity.,1
rides.,1
anxiety,1
Ross,1
https://www.facebook.com/marketplace/item/1002324610481893/,1
teeth.,1
@Josh,1
HR,1
its,1
gets,1
positions.,1
send,1
Miata!,1
trunk,1
https://www.facebook.com/marketplace/item/2219183394930682/,1
content,1
some!,1
dog,1
"Hansen,",1
chat?,1
split,1
hired,1
cash,1
(30+point),1
bodies,1
birds!,1
Montero,1
Marie,1
intro,1
weeks.,1
One,1
biggest,1
assholes,1
coffin,1
across,1
break,1
career,1
🧛‍♂️,1
before.,1
loved,1
lessened,1
Kondo,1
curves.,1
mad,1
Real,1
solving,1
63/100.,1
problem,1
score,1
Highest,1
finished.,1
no,1
Literally,1
mown,1
burning,1
sworn,1
could’ve,1
Mitsubishi,1
experience,1
https://www.facebook.com/marketplace/item/7997027173648185/,1
Beetle,1
become,1
violently,1
minimalist,1
towel,1
Hansen,1
worst,1
winch,1
prescriptions,1
buddy,1
logged,1
email,1
parties,1
estimated,1
60hour,1
investigation,1
correction,1
fun,1
"morning,",1
timeline.,1
"feedback,",1
reviews,1
"year,",1
fuck,1
monitor.,1
touring,1
said,1
JIT,1
lean,1
manufacturer,1
corner,1
backlog,1
