,count
to,34
a,31
I,28
and,26
the,23
you,20
it,18
for,17
like,15
of,15
my,12
but,11
is,10
your,10
that,10
if,9
in,8
was,8
get,8
just,8
with,7
as,7
not,7
be,7
don't,6
on,6
presentation,6
about,6
more,6
me,5
than,5
want,5
time,5
singing,5
have,5
feel,5
it's,5
her,5
an,5
or,4
What,4
would,4
when,4
getting,4
it.,4
can,4
at,4
coworker,4
there,4
group,4
what,4
he,4
so,4
job,4
+,4
usually,4
this,4
much,4
had,3
But,3
you're,3
Like,3
think,3
are,3
speaking,3
very,3
issue,3
public,3
one,3
could,3
give,3
I'm,3
they,3
where,3
jeans,3
from,3
I'd,3
even,3
will,3
making,3
all,3
way,3
someone,3
little,3
talk,2
fit,2
stop,2
every,2
new,2
though,2
do,2
then,2
enough,2
raise,2
That,2
miss,2
great,2
isn't,2
notes,2
no,2
know,2
working,2
competent,2
w/o,2
child,2
into,2
try,2
happy,2
also,2
If,2
Is,2
you'd,2
work,2
XD,2
there's,2
like.,2
she's,2
look,2
women's,2
ever,2
"""I",2
mom,2
our,2
far,2
been,2
match,2
through,2
makes,2
suddenly,2
up,2
that's,2
less,2
own,2
So,2
better,2
tell,2
because,2
Idk,2
some,2
too,2
Anyone,2
size,2
noticed,2
It's,2
manager,2
faster,2
said,2
things,2
got,2
open,2
expecting,2
were,2
@Kimberly,1
butter?,1
Congrats!!,1
"master,",1
Very,1
"person,",1
just.....,1
birthday!!,1
Waggoner,1
minimum,1
companies,1
certainly,1
wouldn't,1
hurt,1
go.,1
At,1
name,1
out,1
free,1
career,1
farmer,1
mead,1
office,1
bee,1
"say,",1
That's,1
common,1
struggles,1
himself,1
"Instead,",1
picture,1
closing,1
swag,1
house?,1
Also,1
congrats!,1
Feeling,1
feeling.,1
Yeah,1
agree.,1
guys.,1
saying,1
quit,1
pursue,1
dream,1
"being,",1
fair,1
regular,1
😎,1
he's,1
Mentioned,1
"him,",1
same,1
disappointment,1
coworker.,1
"years,",1
"men's,",1
leg,1
waist,1
y'all,1
instead?,1
healthy,1
work/life,1
balance,1
I'll,1
those,1
old,1
people,1
past,1
need,1
shit.,1
awesome.,1
proved,1
yeah,1
comfortable.,1
interested,1
any,1
employers,1
point.,1
Peanut,1
Another,1
exact,1
job?,1
better?,1
pockets!!,1
There's,1
variation,1
skinny,1
vs,1
10/10,1
recommend.,1
Before,1
relying,1
AND,1
men's,1
properly,1
None,1
tried,1
finish.,1
I've,1
"be,",1
worry,1
much.,1
He,1
start,1
presenting,1
ethics,1
safety,1
topics,1
weekly,1
meetings,1
scheduled,1
practice,1
logged,1
morning,1
11:00,1
a.m.,1
Technically,1
two,1
"days,",1
day,1
cuz,1
Work,1
actual,1
happened??,1
early,1
finished,1
"right,",1
definitely,1
disappointed,1
:(,1
In,1
sense.,1
It,1
routine,1
occurred,1
gives,1
experience.,1
Biggest,1
lot,1
"people,",1
including,1
customers,1
else,1
that?,1
hell,1
knowing,1
comfortable,1
over,1
GroupMe.,1
looking,1
pessimistic,1
awfully,1
John,1
drives,1
while,1
talking,1
froze,1
today.,1
Got,1
first,1
few,1
slides,1
air,1
"gone,",1
couldn't,1
right,1
front,1
me.,1
Had,1
pass,1
going,1
later,1
never,1
rant,1
frozen,1
"before,",1
about:,1
https://www.youtube.com/watch?v=poa_QBvtIBA&ab_channel=Professional_Retard,1
Make,1
taking,1
lol,1
Recruiter,1
=/=,1
hiring,1
"position,",1
guarantee.,1
How,1
shouldn't,1
though!,1
You,1
100%,1
shots,1
"take,",1
shot,1
always,1
to.,1
understand,1
challenged,1
@Josh,1
conditions,1
"pay,",1
probably,1
imagine,1
time.,1
College,1
Switching,1
Congrats!,1
now.,1
thought,1
Noooooo,1
extra?,1
car,1
tear,1
feels,1
gas,1
commuting,1
paid,1
lol.,1
"you""",1
too?,1
Hey,1
should,1
adults,1
finding,1
:'),1
kareoke.,1
enjoy,1
stuff,1
environment,1
everyone,1
aware,1
has,1
sort,1
agreed,1
art,1
"dancing,",1
appreciate,1
thing,1
back,1
conversation,1
really,1
bad,1
choose,1
away.,1
optional,1
current,1
awesome,1
friends.,1
rocket,1
do?,1
Even,1
Tbh,1
enable,1
life.,1
quality,1
diff,1
huge,1
commute,1
closer,1
move,1
behavior,1
45,1
"scientist,",1
financial,1
min,1
long,1
"Alexa""",1
ways.,1
normal,1
planner,1
"money,",1
precious,1
"seriously,",1
reasonable,1
kind,1
adult,1
literal,1
kid,1
thinks,1
concept,1
'yeah,1
hike,1
completely,1
offering.,1
resource,1
B,1
company,1
them,1
goal',1
"mountains,",1
therapist,1
wear,1
promotion,1
up.,1
work?,1
fully,1
(in,1
Trenaman,1
Imposter,1
syndrome,1
And,1
soon,1
mouth,1
'hey,1
"wait,",1
child.,1
Who,1
let,1
important,1
workplace,1
business,1
@Andy,1
Ross,1
information,1
decisions,1
input,1
point,1
I'M,1
stressed,1
tool,1
useful,1
room,1
seems,1
good,1
"way),",1
"productive,",1
fulfilled,1
hobbies,1
struggle,1
They've,1
Target's,1
suits,1
situation,1
panicky,1
personally,1
put,1
hot,1
fudge,1
it!,1
😋,1
device,1
using?,1
Tracking,1
stress,1
She's,1
how,1
(if,1
stop),1
democratized.,1
"""little""",1
network,1
This,1
whatever,1
cult,1
aaaaaAAAAAA,1
Ok,1
wow,1
Annette,1
dark,1
there?,1
The,1
fault,1
GroupMe,1
end,1
button,1
AAAAAAAAAAAA,1
hear,1
next,1
thing.,1
why,1
else.,1
somewhere,1
Google,1
jerk,1
raccoons,1
love,1
research,1
certain,1
businesses,1
she,1
apparently,1
can't,1
herself,1
go,1
(even,1
tech,1
literate),1
calls,1
meeting?',1
somehow,1
wandered,1
"reason,",1
physically,1
easy,1
