,count
I,1603
to,859
the,858
a,797
and,626
of,532
that,454
it,423
in,374
but,312
like,309
for,306
is,289
my,288
you,257
have,249
on,239
was,239
just,220
with,216
so,178
me,172
this,169
not,161
be,154
think,151
at,143
about,143
get,140
all,126
I'm,125
do,123
up,122
if,114
had,113
it's,107
or,106
feel,105
out,104
they,104
one,102
can,102
what,101
as,99
want,94
an,93
time,92
know,90
from,90
would,89
really,88
when,87
some,87
more,86
people,85
how,84
lot,81
stuff,81
don't,80
are,77
got,77
your,76
But,75
them,73
even,69
actually,69
there,67
been,66
now,65
by,64
also,62
because,61
we,59
much,57
am,57
being,57
Im,56
than,55
go,55
im,54
over,54
its,53
probably,53
very,53
It's,53
still,51
It,50
could,48
back,48
though,47
too,47
way,46
need,46
did,45
were,45
make,44
will,44
then,42
thought,42
thing,41
other,41
And,40
he,40
shit,40
same,40
good,40
into,40
The,40
having,39
off,39
Like,39
never,39
should,38
My,38
dont,38
didn't,38
who,37
going,37
where,37
made,37
only,36
has,36
better,35
enough,35
no,35
trying,35
This,35
cause,34
love,34
you're,34
most,34
say,34
kind,34
it.,33
I've,33
pretty,33
life,33
long,32
can't,31
something,31
Oh,31
find,31
here,31
right,30
any,30
before,30
So,30
see,30
ever,30
try,29
hard,29
sure,29
Also,29
that's,29
those,29
couple,29
getting,29
she,29
after,29
used,28
years,28
Its,28
If,28
kinda,28
least,27
work,27
3,27
him,27
day,27
things,26
Why,26
went,26
put,26
since,26
literally,26
every,26
last,26
ass,25
new,25
read,25
friends,25
why,25
our,25
fuck,25
take,25
You,25
year,25
whole,25
her,25
hate,25
makes,24
their,24
does,24
bc,24
bad,24
Not,24
hope,23
few,23
everyone,23
:(,23
again,23
Ive,23
myself,23
times,23
until,22
maybe,22
little,22
brain,22
super,22
lol,22
"like,",22
2,22
while,21
That,21
hours,21
yall,21
doing,21
around,21
making,21
rn,21
place,21
might,21
friend,20
group,20
idea,20
fucking,20
now.,20
anything,20
own,20
I'd,20
part,20
always,20
anyone,20
point,19
bit,19
different,19
help,19
there's,19
hair,19
mean,19
guess,19
first,19
wanted,19
Christmas,19
school,19
down,19
sorry,18
side,18
said,18
phone,18
supposed,18
Just,18
week,18
almost,18
remember,18
old,18
through,18
No,18
sleep,18
someone,18
book,17
come,17
food,17
We,17
which,17
half,17
look,17
thats,17
keep,17
haven't,17
big,17
anxiety,17
his,17
days,17
gonna,17
Or,17
Yeah,16
"though,",16
family,16
person,16
done,16
wish,16
wasn't,16
tired,16
"it,",16
night,16
fun,16
What,16
seems,15
church,15
us,15
well,15
They,15
normal,15
less,15
didnt,15
use,15
free,15
😭,15
I'll,15
start,15
these,15
Is,15
took,15
sucks,14
wonder,14
world,14
nice,14
told,14
small,14
many,14
today,14
already,14
seem,14
mom,14
able,14
feels,14
None,14
engineering,13
experience,13
tried,13
once,13
another,13
meds,13
(I,13
weird,13
^,13
job,13
A,13
God,13
tell,13
others,13
How,12
mental,12
far,12
extra,12
thinking,12
best,12
let,12
Do,12
issues,12
happy,12
doesn't,12
spend,12
singing,12
that.,12
between,12
them.,12
cat,12
away,12
live,12
sort,12
room,12
yourself,12
self,12
gets,11
0,11
pay,11
ago,11
idk,11
without,11
youre,11
wouldn't,11
basically,11
buy,11
sounds,11
either,11
screen,11
That's,11
home,11
hell,11
wear,11
guy,11
they're,11
both,11
social,11
highschool,11
"Also,",11
glad,11
yeah,11
saying,11
chat,11
found,11
real,11
he's,11
feeling,10
living,10
working,10
looking,10
"now,",10
such,10
hour,10
sad,10
order,10
apartment,10
extremely,10
under,10
possible,10
ones,10
money,10
miss,10
may,10
high,10
sound,10
alone,10
dreams,10
together,10
great,10
weeks,10
yet,10
god,10
summer,10
shitty,10
general,10
face,10
genuinely,10
cant,10
5,10
stupid,10
started,10
realize,10
enjoy,10
usually,10
meant,9
ADHD,9
talking,9
head,9
🥲,9
insane,9
else,9
sit,9
One,9
set,9
water,9
trip,9
+,9
100%,9
honestly,9
during,9
each,9
-,9
grew,9
apparently,9
like.,9
ive,9
heard,9
case,9
left,9
degree,9
covid,9
lived,9
worse,9
excited,9
aren't,9
iron,9
absolutely,9
learn,9
stuff.,9
🥴,9
give,8
Well,8
worried,8
common,8
crazy,8
deal,8
Maybe,8
cool,8
For,8
gotta,8
parents,8
damn,8
felt,8
quite,8
looks,8
wrong,8
stop,8
music,8
energy,8
"me,",8
cheap,8
reason,8
lmao,8
past,8
sick,8
Did,8
restless,8
open,8
"that,",8
^^^,8
finally,8
forgot,8
