,count
to,27
None,25
the,18
I,18
you,16
a,15
and,12
be,9
of,9
my,8
at,7
just,7
on,7
in,6
about,6
up,6
your,6
for,6
but,5
into,5
we,5
more,5
it,5
need,5
it’s,4
would,4
it.,4
are,4
don’t,4
stuff,4
can,4
that,3
people,3
if,3
an,3
from,3
this,3
have,3
kind,3
too,3
will,3
work,3
both,2
find,2
residential,2
Some,2
that’s,2
think,2
time,2
places,2
You,2
they,2
lean,2
some,2
sure,2
down,2
won’t,2
on.,2
much,2
back,2
money,2
give,2
Houston,2
who,2
probably,2
is,2
shouldn’t,2
used,2
big,2
The,2
around,2
Not,2
so,2
way,2
doing,2
all,2
went,2
their,2
I’m,2
lot,2
able,2
sidewalk,2
pick,2
At,2
not,2
with,2
out,2
been,2
feel,1
poor,1
knitty,1
still,1
commercial,1
GC.,1
May,1
dive,1
HVAC,1
gritty,1
technical,1
know,1
system.,1
pixels,1
raise,1
Best,1
living”,1
as,1
awesome,1
Kenya,1
pour,1
spent,1
look,1
trade,1
"Kenya,",1
justify,1
being,1
Move,1
stateside,1
reason,1
Pretty,1
“cost,1
adjust,1
"$3.15/Hr,",1
then,1
transfer,1
worlds.,1
Pasadena.,1
SoCal/NYC.,1
go.,1
nicest.,1
can’t,1
"Sorry,",1
total,1
cup,1
hands,1
take,1
"Anyways,",1
"stint,",1
given,1
current,1
state,1
"world,",1
chat,1
filled,1
rest,1
crazy,1
month,1
make,1
I’ve,1
150k,1
$3.35/Hr,1
how,1
Should,1
them,1
anything,1
nice,1
least,1
3,1
parts,1
were,1
say,1
errrr….,1
But,1
is..,1
regret,1
figure,1
decide,1
like,1
wrapping,1
two,1
(and,1
housing,1
stipend,1
covered,1
rents,1
combined),1
3Mo,1
advice,1
OKC,1
500mi,1
where,1
live.,1
If,1
memes,1
go,1
only,1
For,1
leaves,1
9mo,1
I’d,1
place,1
home,1
plan,1
storing,1
whatever,1
need.,1
Pocketing,1
spend,1
double,1
rent,1
worth,1
In,1
experience,1
roughly,1
translates,1
"it,",1
"to,",1
renting,1
load,1
dread,1
us.”,1
through,1
comfortable,1
6.5~8,1
HRs,1
day,1
shit,1
“When,1
burn,1
or,1
learn,1
sit,1
desk,1
until,1
boss,1
exactly,1
I.E,1
"thing,",1
"deck,",1
getting,1
fits,1
rapid,1
growing,1
cities,1
tying,1
infrastructure,1
upgrades,1
vibe,1
permits.,1
“you,1
want,1
add,1
half,1
bath,1
stonks,1
offer,1
Spent,1
away,1
info,1
furnace,1
good,1
"cheap,",1
bull,1
oil,1
shy,1
working,1
"mean,",1
myself,1
really,1
isn’t,1
hard,1
Doing,1
operated,1
googling,1
little,1
going,1
consider,1
was,1
bad”.,1
slip,1
depression**,1
Straight,1
alarm,1
off,1
4:30,1
ready,1
hair.,1
Friday,1
afternoon,1
And,1
illnesses.,1
install,1
Won’t,1
advice.,1
thinking,1
got,1
code.,1
market,1
cheaper,1
likely,1
such.,1
complexes,1
something,1
apartment,1
bright,1
"shiny,",1
By,1
"Again,",1
bulk,1
bad.,1
appliance,1
significantly,1
super,1
Stove,1
Work,1
usually,1
"also,",1
"happening,",1
"way,",1
by,1
giving,1
us,1
free,1
easement,1
me,1
"land,",1
forever,1
claim,1
maintain.,1
K,1
thanks.”,1
saying,1
what’s,1
“that,1
wouldn’t,1
8,1
trim,1
It’s,1
actually,1
thing,1
does,1
either.,1
hair,1
facial,1
"easy,",1
building,1
even,1
gas.,1
With,1
housework,1
since,1
COVID,1
wait,1
syndrome.,1
sick,1
most,1
"savings,",1
months,1
there,1
asked,1
front,1
either,1
bring,1
Bonus,1
long,1
Look,1
enough,1
now,1
shirt,1
couple,1
years,1
period.,1
pants,1
might,1
get,1
one,1
"DMV,",1
orgy.,1
stray,1
finger,1
bum,1
pulls,1
"away,",1
leans,1
gotta,1
free/next,1
feels,1
license,1
drivers,1
renewed,1
major,1
factors,1
things,1
same,1
types,1
Two,1
kind?,1
nothing,1
up.,1
property,1
latest,1
fanciest,1
model.,1
cause,1
pretty,1
chronic,1
A,1
time.,1
Talk,1
full,1
service.,1
fun,1
Works,1
