,count
None,311
I,305
the,303
to,252
a,250
and,235
you,165
of,153
that,145
it,118
in,107
for,98
my,92
is,85
was,82
at,72
be,71
me,68
just,64
I'm,64
like,63
not,62
with,54
have,52
your,51
so,49
about,47
but,47
this,46
get,44
out,43
on,43
one,39
if,39
an,37
it's,36
are,36
do,35
or,34
as,34
when,34
It,33
really,32
all,30
can,30
been,29
The,29
what,29
back,29
up,28
more,27
she,27
got,26
It's,26
good,25
You,24
And,24
her,24
AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,24
sure,23
had,23
you're,23
I've,22
But,22
only,22
from,21
they,21
didn't,21
think,21
much,21
don't,20
.,20
That's,20
pretty,20
were,20
time,20
than,20
girl,19
still,19
go,19
that's,19
how,19
other,19
no,18
least,17
we,17
know,17
say,17
then,16
first,16
day,16
after,16
thing,16
off,16
new,15
job,15
said,15
want,15
them,15
work,15
thought,15
being,15
even,15
too,15
group,15
some,15
never,14
way,14
bad,14
I'll,14
would,14
That,14
What,14
gonna,14
see,14
very,13
right,13
he,13
little,13
someone,13
make,13
there,13
here,13
tell,12
I'd,12
looks,12
now,12
always,12
dread,12
use,12
our,12
also,12
sounds,11
going,11
look,11
This,11
who,11
should,11
friends,11
How,11
where,11
does,11
week,11
into,11
doesn't,11
can't,11
actually,11
probably,11
help,11
real,10
over,10
ain't,10
getting,10
him,10
told,10
because,10
last,10
has,10
both,10
could,10
great,10
So,10
something,10
less,10
there's,10
My,9
part,9
Also,9
they're,9
"that,",9
making,9
try,9
If,9
did,9
message,9
love,9
feel,9
few,9
need,9
Well,9
Now,9
year,9
You're,8
To,8
In,8
point,8
his,8
same,8
better,8
Then,8
hope,8
find,8
flirting,8
couple,8
take,8
thinking,8
trying,8
won't,8
Mood,8
any,8
felt,8
everyone,8
well,8
Not,7
shoes,7
made,7
everything,7
em,7
next,7
people,7
today,7
definitely,7
many,7
will,7
we're,7
life,7
down,7
reason,7
once,7
Just,7
hard,7
wasn't,7
by,7
actual,6
end,6
else,6
sense,6
might,6
enough,6
anything,6
chat,6
which,6
keep,6
before,6
done,6
us,6
"no,",6
nice,6
sad,6
She,6
again,6
put,6
gotta,6
seen,6
Why,6
their,6
may,6
every,6
past,6
yourself,6
went,6
though,6
student,6
says,6
🙃,6
cause,6
small,6
myself,6
talk,6
GroupMe,6
easy,6
it?,6
friend,6
you?,6
bit,6
through,5
Because,5
figured,5
couldn't,5
"time,",5
ahead,5
feeling,5
No,5
two,5
•,5
guy,5
As,5
square,5
meme,5
experience,5
fun,5
gotten,5
far,5
telling,5
already,5
saw,5
Maybe,5
these,5
weeks,5
side,5
heard,5
"Ah,",5
why,5
church,5
makes,5
she's,5
another,5
exactly,5
years,5
"up,",5
rather,5
stuff,5
game,5
start,5
"Hey,",5
you've,5
sleep,5
that.,5
person,5
home,5
Thanks,5
long,5
instead,5
joke,5
gets,5
idea,5
such,5
you'll,5
using,5
nobody,5
similar,5
Is,5
working,5
turn,5
night,5
run,4
school,4
Your,4
having,4
previous,4
update,4
leave,4
mode,4
worth,4
doing,4
me.,4
bed,4
cool,4
ask,4
haven't,4
kinda,4
phone,4
Even,4
question,4
problem,4
excuse,4
own,4
different,4
😎,4
manager,4
often,4
aren't,4
looking,4
tired,4
engineer,4
seeing,4
F,4
you.,4
case,4
those,4
Which,4
fact,4
We're,4
There's,4
out.,4
proud,4
supposed,4
deleted,4
wanna,4
huge,4
existential,4
ready,4
relationship,4
half,4
care,4
awkward,4
most,4
others,4
fan,4
between,4
freshman,4
suppose,4
image,4
high,4
until,4
offer,4
¯\_(ツ)_/¯,4
live,4
hate,4
let,4
used,4
At,4
bring,4
Yes,4
Falcon,4
Do,4
come,4
energy,4
specific,4
meant,4
figure,4
several,4
you'd,4
almost,4
explain,4
Look,4
decent,4
quite,4
could've,4
minutes,4
random,4
Probably,4
He,4
happen,4
Mika,3
till,3
knowing,3
concept,3
"about,",3
otherwise,3
late,3
enjoy,3
win,3
Wait,3
Sounds,3
again.,3
self,3
100%,3
early,3
nothing,3
hours,3
woke,3
emailed,3
wrong,3
interesting,3
discovering,3
above,3
finally,3
email,3
minds,3
Thank,3
"do,",3
"""I",3
imposter,3
A,3
light,3
am,3
save,3
hole,3
answer,3
relationship.,3
There,3
Might,3
asking,3
kind,3
season,3
spoke,3
fix,3
position,3
possible,3
On,3
