,count
the,5
a,3
I,3
and,3
None,3
what,3
this,2
still,2
dumb,2
of,2
but,2
in,2
return,2
to,2
with,2
if,2
Still,1
off,1
finish,1
myself,1
bring,1
can't,1
am,1
how,1
realize,1
I'm,1
Yeah,1
season,1
last,1
canceled,1
My,1
6,1
because,1
Fuck:,1
Part,1
2,1
Is,1
half,1
celebs,1
feel,1
like,1
"Me,",1
they,1
make,1
today,1
that,1
brain,1
when,1
after,1
place,1
happened,1
"""fidget""",1
"""fondle""",1
casual,1
conversation,1
higher,1
up,1
company,1
had,1
*bad*,1
Freudian,1
ever,1
slip,1
at,1
again,1
an,1
interview,1
substituted,1
got,1
job,1
idk,1
can,1
accept,1
offer,1
word,1
Fuck,1
