,count
I,28
to,22
and,20
a,16
the,12
i,12
but,11
my,11
in,11
it,9
of,9
you,9
that,7
is,7
me,6
there,5
sleep,5
want,5
get,5
as,5
for,5
on,5
if,5
with,4
was,4
just,4
it's,4
yeah,4
when,4
so,4
have,4
don't,4
be,3
out,3
they,3
this,3
that's,3
They,3
check,3
I'm,3
gotten,3
think,3
can,3
Oh,3
too,3
like,3
about,3
know,2
great,2
go,2
might,2
weeks,2
where,2
got,2
able,2
psychiatrist,2
It's,2
going,2
may,2
did,2
college,2
"there,",2
start,2
move,2
ago,2
different,2
see,2
put,2
left,2
kind,2
one,2
not,2
stuff,2
you're,2
went,2
thought,2
school,2
her,2
which,2
because,2
pretty,2
actually,2
rice,2
we're,2
whatever,2
matches,2
seaweed,2
we,2
same,2
normal,2
weird,2
find,2
though,1
appointment,1
getting,1
piece,1
friggin,1
cool,1
missed,1
in.,1
called,1
almost,1
ran,1
them,1
refilled,1
without,1
"musician,",1
works,1
hadn't,1
better,1
"teacher,",1
(with,1
recently,1
relate,1
constantly,1
short,1
breath,1
weeks.,1
prescription,1
close,1
hundred,1
percent,1
test,1
months.,1
definitely,1
"librarian,",1
send,1
has,1
how,1
long,1
significantly,1
say,1
coffee,1
For,1
"me,",1
general,1
vibe,1
by,1
buying,1
"strips,",1
sushi,1
using,1
utensil,1
grab,1
input,1
really,1
fewer,1
profile,1
everyone,1
barista,1
into,1
Huntsville.,1
Not,1
sure,1
what,1
thing.,1
make,1
Also,1
"though,",1
never,1
many,1
let,1
friends,1
heavy,1
someone,1
saw,1
I'll,1
No,1
"wait,",1
them.,1
It,1
gets,1
past,1
first,1
barrier,1
knowing,1
right?!,1
attracted,1
immediately,1
until,1
three,1
bipolar,1
medicine.,1
Still,1
worth,1
exactly,1
or,1
"""more",1
than,1
mess,1
"was""",1
easily,1
"too,",1
there's,1
still,1
adderall,1
shortage,1
prescribed,1
ritalin,1
no,1
"problem,",1
mom,1
sing.,1
tomorrow,1
study?,1
"Also,",1
dread,1
used,1
tracker,1
records,1
interesting,1
audio.,1
apparently,1
"talk,",1
"snore,",1
"techno-babble,",1
most,1
interestingly,1
"opinion,",1
walking,1
course),1
"in,",1
days,1
look,1
Sorry,1
buried,1
lede,1
day,1
16,1
plenty,1
Airbnb's,1
time,1
Unsolicited,1
advice,1
totally,1
disregard,1
uninterested,1
weeeeiiird,1
revenant.,1
will,1
bit,1
Couple,1
low.,1
home,1
checked,1
pants,1
pocket,1
was.,1
swear,1
usually,1
When,1
9,1
lucky,1
bad,1
to.,1
Or,1
super,1
tank,1
bed,1
article?'',1
believe,1
every,1
article,1
"read""",1
"""did",1
read,1
some,1
wallet,1
reminder,1
one?,1
till,1
biked,1
work,1
Sunday,1
could,1
then,1
I've,1
shift,1
8,1
goes,1
"psychiatry,",1
Sometimes,1
pre-work,1
turns,1
early,1
phone,1
grayscale,1
actual,1
at,1
demons,1
snooze,1
commuter,1
auto,1
DND,1
am,1
commuters,1
further,1
off,1
sometimes,1
place,1
more,1
permanently?,1
pricey,1
from,1
10pm.,1
city,1
center,1
stay,1
AM,1
didn't,1
are,1
"""don't",1
"""science""",1
their,1
ruin,1
thinking,1
also,1
Ayyo,1
bottles,1
spray,1
fading,1
high,1
completely,1
away,1
coming,1
back,1
now,1
So,1
hard,1
twice,1
Necromancers,1
providence,1
accept,1
help,1
term,1
My,1
something,1
kiss,1
niece,1
forget,1
pardon,1
stubborn,1
Which,1
stays,1
Proceeds,1
"yet,",1
point,1
"where,",1
https://open.spotify.com/playlist/71KKuNc9c0ivPhAg7HQGj1?si=B8m8P-xKRtK2Fvy0gnNwtg&utm_source=copy-link,1
Benefits,1
zoom,1
"you,",1
With,1
proper,1
technique,1
break,1
things,1
here,1
https://www.today.com/health/cake-breakfast-study-says-go-it-1C9382215,1
up,1
Shhhh.,1
Don't,1
tell,1
health,1
food,1
chat.,1
other.,1
regularly,1
therapy,1
mind,1
include,1
noticeable,1
lack,1
aliveing,1
started,1
heck,1
.,1
experience,1
desync,1
soon,1
possible.,1
Get,1
other,1
blowing,1
melee,1
