,count
None,52
I,28
a,27
to,25
and,15
that,15
the,15
be,11
have,11
you,11
it,11
get,9
of,9
at,9
is,8
for,8
but,7
your,6
they,6
would,6
in,6
lmao,6
things,6
don’t,5
use,5
just,5
are,5
from,5
an,5
when,5
I’m,5
actually,4
work,4
too,4
them,4
much,4
always,4
my,4
so,4
had,4
as,4
than,4
probably,3
see,3
only,3
that’s,3
time,3
can,3
make,3
with,3
good,3
If,3
more,3
😭,3
Don’t,3
people,3
thing,3
It’s,3
let,2
were,2
😂,2
body,2
makes,2
all,2
My,2
want,2
I’d,2
making,2
year,2
go,2
it’s,2
was,2
teeth,2
will,2
we,2
They,2
mental,2
seems,2
It,2
lazy,2
having,2
over,2
back,2
long,2
better,2
many,2
nice,2
about,2
anyone,2
appointment,2
daily,2
can’t,2
wrong,2
gotta,2
group,2
testing,2
most,2
they’re,2
done,2
really,2
together,2
up,2
😅,2
ever,2
by,2
bc,2
balance,2
Like,2
wait,2
could,2
less,2
being,2
You,2
true,2
risk,2
coming,2
never,2
myself,1
place.,1
apart,1
major,1
event,1
enough,1
balanced,1
occur,1
month,1
life.,1
or,1
two,1
months,1
once,1
course,1
worked,1
call,1
nerve,1
outside,1
Worst,1
place,1
estate,1
initial,1
ideation,1
health,1
episodes,1
very,1
immediate,1
need.,1
speculators,1
shitty,1
educator,1
suicidal,1
Boykin,1
fkn,1
worst,1
Many,1
employers,1
bed,1
real,1
I’ve,1
two.,1
efforts,1
lose,1
went,1
selling,1
space,1
premium.,1
Provably*,1
"Haha,",1
difficult,1
inevitable.,1
Just,1
better.,1
problem,1
Same,1
better!,1
Bad,1
happening,1
groups,1
do,1
homie,1
"3000GT,",1
aren’t,1
"healthcare,",1
plenty,1
"anyone,",1
careful,1
sometimes,1
weird,1
proper,1
Thankfully,1
Sometimes,1
😭😭😭,1
then”,1
needs,1
vulnerable,1
accumulated,1
you’ve,1
made.,1
"rest,",1
But,1
lol.,1
ends,1
rest,1
sell,1
here,1
sooner,1
even,1
unforgiving,1
me,1
"wrong,",1
"place,",1
tense,1
present,1
regular,1
living,1
girlfriend,1
considered,1
move,1
Denver,1
like,1
fuck;,1
poor,1
again,1
What,1
So,1
sense,1
exist,1
die,1
“flaunting”?,1
helps,1
illusion,1
imagine,1
anything,1
flaunting,1
money,1
“Time,1
you!,1
saw,1
someone,1
150k,1
(not,1
belittle,1
that;,1
unlikely,1
me).,1
Time,1
doesn’t,1
wants,1
fourth,1
natural,1
needed,1
filling.,1
dread,1
time;,1
everything,1
we’ve,1
seen,1
happened,1
already.,1
Boss,1
daylight,1
"dollar,",1
dime;,1
why,1
play,1
video,1
games,1
on,1
company,1
felt,1
dimensional,1
As,1
lanterns,1
"cavity,",1
causing,1
fire,1
Sandalwood,1
scent,1
"today,",1
stuff,1
Walmart,1
tbh,1
cleaned,1
facial,1
cleanser,1
exfoliating,1
wash,1
medication,1
shave.,1
Apart,1
"that,",1
no,1
riot,1
moisturizer,1
might,1
miss,1
"engines,",1
"worst,",1
approach,1
way,1
they’ll,1
buy;,1
China,1
em,1
around,1
"Lmfao,",1
love,1
Oof,1
alternative.,1
find,1
@Clint,1
Oestreich,1
Missed,1
stuck,1
won’t,1
dream,1
twice,1
used,1
HEMA?,1
army,1
aircraft,1
Teems,1
Dreams,1
"patients,",1
rooms,1
separate,1
can.,1
"60,",1
15-30,1
times,1
Call,1
parents,1
grandparents,1
visit,1
often,1
buddy,1
job,1
Are,1
board,1
suck,1
depression,1
powerful,1
if,1
neurotypical,1
On,1
shark,1
fuck,1
At,1
classes,1
least,1
coochie,1
put,1
tell,1
lot,1
one,1
"years,",1
charcuterie,1
memory.,1
school,1
nasa,1
fine.,1
rocket,1
God,1
forever.,1
we’d,1
memory,1
knew,1
keep,1
journal,1
timesaver,1
high,1
The,1
Depression,1
reason,1
watch,1
2x,1
speed,1
did,1
recurve,1
fencing,1
"addicts,",1
before,1
which,1
in),1
beard,1
club,1
sponsor,1
now,1
off,1
campus,1
sponsored,1
SCA,1
prefer,1
still,1
tho,1
interaction,1
any,1
other,1
during,1
week,1
(mostly,1
days,1
smiles,1
shut,1
meme,1
oil.,1
rather,1
stay,1
home,1
Oops,1
dang,1
also,1
post,1
into,1
relationship,1
I’ll,1
understand,1
couples,1
break,1
20482,1
times.,1
maybe….just,1
maybe……..ur,1
because,1
fuckin,1
treatment,1
That’s,1
giving,1
govt?,1
Evergreens,1
vital,1
leaders;,1
dying,1
watching.,1
https://open.spotify.com/track/75Gfe52V3GwydewbPqAAMe?si=z0IiPj6UTwubyk9ocwnIBg&dl_branch=1,1
quote,1
need,1
song,1
called,1
Hope,1
Fuck,1
This,1
Up,1
We,1
medical,1
addicts,1
crowd,1
UAH,1
cigars,1
blows,1
willing,1
really.,1
Both,1
"cared,",1
outright,1
ban,1
cigarettes,1
muh,1
higher,1
Not,1
freedom,1
Frankly,1
helping,1
POC,1
communities,1
banning,1
since,1
rate,1
