,count
the,294
to,269
a,222
I,218
of,177
and,162
that,143
in,107
you,95
is,87
for,80
my,77
it,76
on,64
with,57
but,55
this,55
have,54
just,51
not,46
was,46
be,45
like,42
I'm,40
are,40
as,39
an,37
your,37
up,36
get,36
out,34
so,34
at,33
me,32
or,31
we,31
they,31
don't,30
one,30
do,30
about,29
can,28
some,26
got,26
it's,23
from,23
think,22
what,22
if,22
had,22
still,19
I've,19
time,19
than,19
you're,19
more,18
has,18
other,18
even,18
good,17
when,17
all,17
It's,17
should,17
If,17
been,16
them,16
That's,16
by,16
he,16
our,15
much,15
way,15
The,15
never,15
This,15
want,14
no,14
only,14
people,14
probably,14
there,13
who,13
actually,13
make,13
go,13
I'd,13
also,13
too,13
because,13
point,12
over,12
did,12
know,12
it.,12
thing,11
back,11
those,11
definitely,11
first,11
any,11
into,11
that's,11
work,11
how,11
went,10
gonna,10
now,10
their,10
can't,10
going,10
where,10
sure,10
which,9
chat,9
something,9
were,9
week,9
last,9
didn't,9
enough,9
job,9
Not,9
every,9
And,9
couple,9
reason,8
would,8
being,8
"it,",8
could,8
feel,8
while,8
most,8
someone,8
My,8
will,8
help,8
his,8
need,8
fuck,8
we're,8
doesn't,7
after,7
sounds,7
find,7
here,7
day,7
little,7
haven't,7
shit,7
long,7
own,7
see,7
y'all,7
family,7
number,7
everyone,7
mean,7
off,7
A,7
It,7
very,7
absolutely,7
looking,7
You,7
best,7
better,7
anyone,7
job.,6
done,6
code,6
spent,6
doing,6
home,6
new,6
kind,6
password,6
fun,6
At,6
least,6
things,6
belt,6
they're,6
remember,6
pay,6
friends,6
trying,6
really,6
supposed,6
bunch,6
always,6
made,6
different,6
wasn't,6
me.,6
two,6
her,6
major,6
We,6
use,6
😆,6
Just,6
until,6
take,6
few,6
does,6
wanted,6
specifically,5
old,5
existential,5
part,5
might,5
down,5
come,5
extra,5
arts,5
martial,5
"that,",5
since,5
either,5
hell,5
What,5
care,5
next,5
manager,5
another,5
high,5
band,5
As,5
Sounds,5
pretty,5
dread,5
files,5
years,5
To,5
"chat,",5
fucking,5
current,5
call,5
else,5
whole,5
There's,5
that.,5
already,5
That,5
conversation,5
whatever,5
ever,5
both,5
then,5
comes,5
fact,5
well,5
big,5
told,5
"up,",5
working,5
right,5
having,5
"Oof,",5
For,5
during,5
you'd,4
training,4
Do,4
cause,4
bullshit,4
half,4
far,4
life,4
put,4
there's,4
bad,4
with.,4
hot,4
software,4
"yes,",4
one.,4
security,4
today,4
able,4
deep,4
shitty,4
But,4
you.,4
I'll,4
lot,4
reflect,4
amount,4
keep,4
within,4
Fuck,4
None,4
seem,4
modern,4
Y'all,4
time.,4
again,4
end,4
anything,4
each,4
post,4
interview,4
won't,4
ten,4
minutes,4
once,4
"one,",4
before,4
politics,4
aren't,4
group,4
realized,4
look,4
history,4
situation,4
engineering,4
tests,4
arbitrary,4
getting,4
"though,",4
college,4
fair,4
hit,4
worst,4
past,4
place,4
issues,4
may,4
hours,4
likely,4
let,4
"yeah,",4
through,4
love,4
problem,4
why,4
many,4
Yeah,4
How,4
found,4
completely,4
money,4
close,4
wife,4
early,4
around,4
control,4
left,4
build,3
farm,3
them.,3
tried,3
whiskey,3
particular,3
am,3
beyond,3
So,3
Last,3
guys,3
in.,3
three,3
Docker,3
gets,3
currently,3
Ground,3
ones,3
Honestly,3
version,3
tools,3
code.,3
yikes,3
fluid,3
kinda,3
read,3
often,3
exist,3
longer,3
Unless,3
usually,3
level,3
that?,3
makes,3
",",3
cases,3
isn't,3
.,3
taking,3
worried,3
he's,3
They,3
buy,3
say,3
certain,3
him,3
believe,3
avoid,3
primary,3
person,3
happen,3
decent,3
society,3
months,3
six,3
hard,3
Any,3
git,3
using,3
play,3
They're,3
