,count
to,129
the,101
I,100
a,98
and,70
is,51
of,51
that,51
my,46
it,44
for,43
in,41
have,29
like,27
you,27
it’s,24
me,23
with,22
but,21
are,19
they,19
be,19
was,18
if,18
because,17
I’m,17
not,17
on,17
or,16
when,15
don’t,15
from,15
at,15
None,14
about,14
this,14
more,13
one,13
My,13
get,13
just,13
an,13
being,12
think,12
up,12
out,12
people,12
time,11
who,11
I’ve,11
really,10
can,10
before,9
some,9
so,9
too,9
them,9
feel,9
as,9
been,9
what,9
good,9
your,9
other,8
The,8
If,8
adhd,8
something,8
person,8
go,8
we,8
do,7
little,7
bad,7
many,7
he,7
someone,7
off,7
their,7
This,7
make,7
sure,7
find,7
got,7
than,6
So,6
all,6
It,6
by,6
until,6
used,6
could,6
know,6
also,6
only,6
those,6
thing,6
over,6
home,5
homes,5
enough,5
there,5
trying,5
house,5
day,5
Oh,5
that’s,5
makes,5
Not,5
had,5
things,5
years,5
after,5
new,5
love,5
made,5
both,5
even,5
having,5
And,5
read,4
her,4
almost,4
date,4
want,4
buy,4
works,4
much,4
big,4
It’s,4
why,4
actually,4
take,4
cat,4
3,4
job,4
way,4
What,4
care,4
did,4
would,4
every,4
There,4
Huntsville,4
while,4
has,4
were,4
brain,4
dopamine,4
let,4
doing,4
keep,4
into,4
start,4
down,4
does,4
bit,4
women,4
high,4
give,4
work,4
should,4
same,4
wish,4
rent,4
will,4
set,3
Yeah,3
How,3
again,3
probably,3
lol,3
gets,3
But,3
He,3
him,3
that.,3
sometimes,3
come,3
one.,3
saying,3
where,3
now,3
during,3
whole,3
anyone,3
When,3
look,3
meeting,3
each,3
then,3
it.,3
office,3
😂,3
You,3
went,3
usual,3
long,3
last,3
never,3
Maybe,3
cut,3
Sounds,3
we’re,3
likely,3
New,3
getting,3
which,3
bought,3
folks,3
articles,3
first,3
Does,3
around,3
worse,3
wasn’t,3
ok.,3
thought,3
therapist,3
talking,3
they’ll,3
comes,3
lot,3
helps,3
therapy,3
me.,3
doesn’t,3
Like,3
trauma,3
us,3
didn’t,3
run,3
Landlords,3
less,3
dad,3
can’t,3
now.,3
I’d,3
since,3
adult,3
moved,3
old,3
generally,2
say,2
hair,2
neurodivergence,2
hedge,2
funds,2
wild,2
After,2
maintain,2
function,2
That,2
paid,2
Ah,2
develop,2
civilization,2
executive,2
part,2
lose,2
relationship,2
cost,2
seeking,2
see,2
market,2
nasa,2
said,2
started,2
depressive,2
check,2
early,2
college,2
"rent,",2
charge,2
release,2
diet,2
maybe,2
Don’t,2
In,2
football,2
doctor,2
success,2
created,2
meds,2
coming,2
turns,2
meds.,2
neighborhood,2
won’t,2
haven’t,2
cards.,2
shouldn’t,2
Farm,2
wise,2
spend,2
came,2
thunder,2
cards,2
strange,2
mom,2
tenth,2
friends,2
dates,2
wall,2
mean,2
extremely,2
returning,2
gender,2
6,2
somewhere,2
rules,2
guess,2
roofer,2
estimate,2
though.,2
State,2
needs,2
straight,2
mold,2
wanted,2
Essentially,2
they’re,2
prohibitively,2
different,2
premium,2
insurance,2
leave,2
our,2
else,2
put,2
how,2
season,2
sad,2
mandatory,2
Saturday,2
interesting,2
Wars,2
property,2
he’s,2
ability,2
aren’t,2
least,2
increases,2
party,2
normal,2
dinner,2
you’re,2
close,2
level,2
happened,2
Which,2
parents,2
A,2
control,2
turn,2
coffee,2
vodka,2
uses,2
dose,2
ago,2
I’ll,2
hard,2
tell,2
Emilia,2
heard,2
That’s,2
meetings?,2
working,2
says,2
yourself,2
"that,",2
Typically,2
try,2
finds,2
low,2
making,2
home.,2
well,2
friend,2
couple,2
help,2
Apparently,2
saw,2
build,2
Lol,2
yeah,2
pandemic,2
Steven,2
stressed,2
midnight,2
issue,2
rooms,2
there.,2
depression,2
yes,2
isn’t,2
diagnosed,2
use,2
pool,2
most,2
adults,2
HSV,2
city,2
group,2
no,2
team,2
need,2
best,2
laptop,2
interest,2
good.,2
No,2
Just,2
*,2
produce,2
hide,2
back,2
seeing,2
remember,2
called,2
5,2
weekend,2
wise.,1
have.,1
raised,1
establish,1
forward,1
sandbagging.,1
company,1
shaved,1
Ouch,1
rough,1
appeal,1
behavior,1
heat,1
humans,1
going,1
