,count
I,4
meme,3
a,3
the,3
Life,2
be,2
could,2
sell,2
that,2
of,1
ba-doo,1
"ba-doh,",1
Boom,1
song,1
NPC,1
version,1
need,1
energy,1
(sh-boom),1
"agree,",1
ba-doodle-ay,1
soul,1
would,1
it,1
your,1
tried,1
too.,1
I'd,1
my,1
own,1
but,1
already,1
mad,1
That,1
way,1
smells,1
search,1
windex-like,1
blue,1
with,1
cocktail,1
vodka,1
Curacao,1
mix,1
also,1
Could,1
and,1
food,1
dye,1
or,1
https://vm.tiktok.com/ZMRJ2BTUG/,1
yeet,1
this,1
I'm,1
responsible,1
for,1
vaguely,1
on,1
tenor,1
GIF,1
keyboard,1
just,1
"""gimme",1
"bois""",1
