,count
to,36
a,32
I,32
the,29
and,24
that,21
of,19
my,15
for,13
with,12
it,12
is,12
as,11
been,11
I'm,10
in,9
me,9
was,9
all,9
have,8
not,8
None,7
I've,7
some,7
be,7
them,7
from,6
it's,6
like,6
But,6
this,6
2,5
on,5
off,5
also,5
It's,5
more,5
has,5
there,4
up,4
than,4
were,4
their,4
now,4
at,4
but,4
what,4
seems,4
just,4
through,4
months,4
that's,4
everything,3
day,3
own,3
out,3
an,3
if,3
only,3
had,3
or,3
could,3
get,3
far,3
might,3
while,3
well,3
actually,3
great.,3
"it,",3
little,3
The,3
one,3
since,3
lol.,3
they,3
So,3
years,3
about,3
going,2
even,2
It,2
can,2
important,2
emotional,2
"that,",2
need,2
My,2
after,2
didn't,2
year,2
6,2
myself,2
This,2
milestone,2
when,2
"say,",2
recent,2
coming,2
so,2
much,2
work.,2
leading,2
got,2
way.,2
most,2
siblings,2
support,2
right,2
incredibly,2
kinda,2
reached,2
ago,2
think,2
realize,2
qualified,2
being,2
family,2
tenant,2
gave,2
me.,2
good,2
returning,2
Dunkin,2
her,2
will,2
would,2
really,2
couple,2
expecting,2
over,2
am,2
number,2
into,2
feel,2
by,2
no,2
previous,2
text,2
appreciate,1
"Thanks,",1
cardiomyopathy,1
extensive,1
scarring.,1
impossible,1
that.,1
really.,1
"Yeah,",1
bottling,1
🥲.,1
wrecked,1
one.,1
Thanks,1
yall,1
complicated.,1
chest,1
appreciated.,1
"Damn,",1
perspective,1
100%,1
"celebration,",1
adopting,1
let,1
"""good""",1
wish,1
"So,",1
bet.,1
8bdrafts,1
share,1
start,1
believing,1
gone,1
considered,1
traumatic.,1
Processing,1
stead,1
state,1
hopefully,1
Thank,1
you,1
self-pity,1
TED,1
talk,1
Ive,1
back,1
memories,1
December,1
2019,1
rollercoaster.,1
"next,",1
decade.,1
"final,",1
draft.,1
asking,1
"But,",1
now.,1
where,1
making,1
(in)actions.,1
On,1
other,1
"hand,",1
haven't,1
yet,1
thank,1
incredible,1
see,1
situation,1
making.,1
"entirely,",1
They,1
then,1
remember,1
exact,1
procedure,1
shrugging,1
donor,1
info,1
letter,1
better,1
Thanks!,1
needed,1
them.,1
"Mostly,",1
due,1
blindsided,1
mixed,1
feelings,1
expecting.,1
thrilled,1
Life,1
sent,1
"better,",1
ore,1
"energy,",1
effective,1
What,1
dampening,1
enthusiasm,1
fact,1
almost,1
donor's,1
isn't,1
past,1
appease,1
biopsies,1
closer,1
sending,1
letter.,1
feels,1
failed,1
vent,1
thoughts,1
"quick,",1
yall.,1
And,1
Friday,1
contact,1
marked,1
transplant.,1
"They,",1
1.5,1
turbulent,1
scary.,1
2-year,1
appointment,1
frequency,1
drops,1
"and,",1
"about,",1
drop,1
Confirmation,1
once,1
year.,1
Throughout,1
"this,",1
particularly,1
transplant,1
"after,",1
several,1
involved.,1
Both,1
staying,1
hospital,1
driving,1
twice-weekly,1
appointments,1
months.,1
Not,1
mention,1
support.,1
Maybe,1
unfair,1
expect,1
Friday.,1
We're,1
excited,1
heart,1
later,1
every,1
struggle.,1
long,1
"busy,",1
overwhelmed,1
work,1
Hurricane,1
Lee.,1
nephew,1
heard,1
bit,1
life,1
deemed,1
disaster.,1
knew,1
shit,1
"wrong,",1
damn.,1
"Dude,",1
Catholic,1
guilt,1
real.,1
stuck,1
Catholicism,1
answer.,1
taking,1
I'd,1
contract,1
they're,1
break,1
reassemble,1
bad,1
experiences.,1
Never,1
dating,1
apps,1
tempting.,1
ESSCA,1
best,1
"weapons,",1
used,1
stepping,1
stone,1
converting,1
CS.,1
Other,1
"though,",1
All,1
fields,1
develop,1
fair.,1
2.5,1
plan,1
wondering,1
disappear,1
dunkin.,1
won't.,1
it'd,1
easy.,1
stop,1
can't,1
regular,1
few,1
compliments,1
thought,1
go.,1
Just,1
compliments.,1
today,1
"""engineer""",1
she,1
another,1
there's,1
do.,1
"way,",1
mean,1
crop,1
road.,1
*actually*,1
thanking,1
down,1
confirm,1
dog,1
bark,1
hours,1
straight.,1
Multiple,1
times,1
day.,1
Without.,1
Fail.,1
That,1
mosquito,1
learn,1
pain,1
"temporary,",1
death,1
forever.,1
mostly,1
"yet,",1
If,1
"Well,",1
Either,1
am.,1
"Woops,",1
:/,1
title.,1
top,1
position,1
Which,1
again.,1
needs,1
location,1
engineer,1
never,1
declining,1
politely,1
options:,1
for.,1
two,1
interviews,1
lot,1
sit,1
promoted,1
There's,1
interested,1
receipt.,1
"more,",1
senior,1
come,1
However.,1
sucks,1
"complex,",1
because,1
search,1
10,1
states,1
ordered,1
population,1
beef,1
slipped,1
cows.,1
seriously,1
close.,1
Now,1
idea.,1
next,1
leaning,1
towards,1
artists,1
job,1
time,1
thing,1
"Wow,",1
"engineer""",1
Someone,1
"""junior",1
mine,1
across,1
unit,1
things,1
getting,1
free.,1
done,1
"neighbors,",1
In,1
"apartment,",1
