,count
to,15
I,11
None,8
the,7
my,6
a,6
was,5
and,4
in,4
are,4
they,4
you,4
is,4
like,3
about,3
school,3
do,3
on,3
from,2
not,2
this,2
bored,2
be,2
of,2
people,2
it,2
delta,2
same,2
an,2
as,2
talking,2
during,2
that,2
up,2
very,2
what,2
left,2
right,2
Just,2
If,1
more,1
giving,1
opportunity,1
for,1
some,1
kids,1
pushed,1
may,1
regular,1
classroom,1
more.,1
little,1
no,1
"stimulation,",1
going,1
My,1
receiving,1
year.,1
give,1
education,1
okay?,1
definitely,1
got,1
This,1
feels,1
much,1
saying,1
maturating,1
makes,1
go,1
blind,1
In,1
"experience,",1
once,1
at,1
"man,",1
how,1
laying,1
30,1
this.,1
A,1
guy,1
went,1
high,1
with,1
years,1
he,1
other,1
under,1
30.,1
him,1
few,1
months,1
ago,1
even,1
Forbes,1
second,1
age.,1
our,1
peers',1
jobs,1
are.,1
prefer,1
watch,1
think,1
side,1
great,1
instead,1
looking,1
over,1
feet,1
Where,1
show,1
up?,1
guess.,1
heard,1
young,1
learn,1
react,1
have,1
fucking,1
make,1
memes,1
manga,1
formats?,1
I'm,1
really,1
normal,1
know,1
shows,1
only,1
read,1
-my,1
12yo,1
them,1
see,1
just,1
meetings,1
And,1
least,1
later,1
then,1
At,1
hit,1
eat,1
things,1
want,1
meme,1
shitpost,1
America,1
Why,1
messages,1
camera,1
cousin,1
confused,1
One,1
angry,1
drug,1
test,1
9,1
THC,1
will,1
weed,1
No,1
existential,1
until,1
best,1
toast,1
"""If",1
world,1
send,1
while,1
teammates,1
8,1
I've,1
From,1
"oyster,",1
remember,1
those,1
having,1
one,1
Not,1
according,1
always,1
@lydia,1
chat,1
memebot,1
Woops.,1
thought,1
"shellfish""",1
allergic,1
must,1
crisis,1
