,count
and,435
i,406
the,232
to,215
a,195
my,173
like,126
that,116
it,105
was,95
but,89
of,87
he,82
for,79
so,77
in,76
bc,76
me,75
have,72
is,67
im,65
be,59
u,57
w,55
not,51
it’s,50
up,49
on,49
do,45
this,44
they,43
i’ve,41
shit,41
his,40
just,39
if,38
y’all,37
him,36
we,35
would,34
don’t,33
when,32
how,31
time,31
at,31
bf,30
or,30
what,30
one,30
has,29
all,29
get,27
been,27
had,26
idk,26
some,25
wanna,25
them,24
told,24
got,23
out,23
i’m,23
she,22
can,22
as,22
gonna,22
are,21
job,21
even,21
no,21
about,20
said,20
now,20
work,20
know,20
her,20
dog,19
from,18
did,18
other,17
tell,17
ppl,17
feel,17
their,17
where,16
that’s,16
kids,16
house,15
ass,15
go,15
didn’t,15
want,15
life,14
were,14
None,14
way,14
too,14
also,14
big,13
ok,13
any,13
who,13
give,13
literally,13
see,13
myself,12
our,12
only,12
💀,12
rn,12
rly,12
think,12
can’t,12
having,12
an,11
will,11
there,11
ur,11
doing,11
bf’s,11
he’s,11
say,11
thing,11
school,11
into,11
before,10
hate,10
love,10
make,10
degree,10
😭,10
last,10
fuck,10
help,10
always,10
more,10
college,10
thought,10
able,10
never,9
being,9
already,9
ab,9
we’re,9
need,9
good,9
bad,9
since,9
first,9
wouldn’t,9
every,9
years,9
bed,9
live,9
enough,9
class,9
they’re,8
doesn’t,8
anyone,8
much,8
why,8
old,8
look,8
tho,8
fam,8
two,8
pay,8
face,8
getting,8
take,8
care,8
than,8
plus,7
something,7
started,7
still,7
lil,7
made,7
home,7
show,7
makes,7
back,7
actually,7
same,7
seeing,7
girl,7
mom,7
side,7
professor,7
then,7
may,7
here,7
looking,7
wanted,7
ago,7
anything,7
part,6
starting,6
couple,6
dad,6
am,6
talked,6
kinda,6
went,6
worked,6
kid,6
else,6
name,6
does,6
fucking,6
today,6
together,6
lot,6
full,6
person,6
type,6
room,6
experience,6
us,6
saw,6
pretty,6
might,6
lmfao,6
put,6
own,6
family,6
whenever,6
baby,6
maybe,6
few,5
possum,5
anymore,5
off,5
hours,5
god,5
found,5
sorry,5
career,5
should,5
pull,5
world,5
semester,5
over,5
i’ll,5
panic,5
tried,5
apply,5
friends,5
close,5
pics,5
woman,5
grade,5
each,5
summer,5
til,5
down,5
new,5
explain,5
stocking,5
day,5
everyone,5
either,5
move,5
dogs,5
better,5
least,5
ask,5
done,5
yanno,5
jobs,5
next,5
trying,5
after,5
months,5
watching,4
sad,4
could,4
looked,4
tf,4
long,4
yeah,4
making,4
speaking,4
asking,4
😭😭,4
there’s,4
wait,4
gave,4
many,4
head,4
grandpa,4
pregnant,4
reminded,4
understand,4
window,4
fucked,4
most,4
child,4
saying,4
